,date,pred,prob,label,open,close
0,2022-07-25,0.0,0.34219813,1.0,152.68821404331052,151.63731384277344
1,2022-07-26,0.0,0.3434123,0.0,150.95322849516282,150.2989044189453
2,2022-07-27,0.0,0.027316917,0.0,151.27047692825258,155.4443359375
3,2022-07-28,0.0,0.011532818,0.0,155.63273793771387,155.99957275390625
4,2022-07-29,0.0,0.124370836,0.0,159.85616032306172,161.11524963378906
5,2022-08-01,0.0,0.27777162,0.0,159.62813156545937,160.12384033203125
6,2022-08-02,0.0,0.24377577,0.0,158.725927293043,158.63668823242188
7,2022-08-03,0.0,0.01850397,0.0,159.45958610051326,164.70419311523438
8,2022-08-04,0.0,0.1368996,0.0,164.58521284641753,164.38693237304688
9,2022-08-05,0.0,0.0661815,0.0,162.03401992896372,164.15859985351562
10,2022-08-08,0.0,0.050521832,1.0,165.1712446192793,163.6820526123047
11,2022-08-09,0.0,0.1520226,0.0,162.8381803407981,163.731689453125
12,2022-08-10,0.0,0.086519524,0.0,166.4718116160025,168.0205841064453
13,2022-08-11,0.0,0.07662943,1.0,168.83466553112586,167.27598571777344
14,2022-08-12,0.0,0.17261398,0.0,168.5963994395109,170.85997009277344
15,2022-08-15,1.0,0.94684345,0.0,170.2841429037945,171.94210815429688
16,2022-08-16,0.0,0.4116169,0.0,171.5350502506805,171.7832489013672
17,2022-08-17,0.0,0.10070616,0.0,171.5251242187656,173.29229736328125
18,2022-08-18,0.0,0.02398132,0.0,172.49807556566168,172.8951873779297
19,2022-08-19,0.0,0.0017066913,1.0,171.78324830247035,170.2841339111328
20,2022-08-22,0.0,0.06858261,1.0,168.46731426092674,166.3625946044922
21,2022-08-23,0.0,0.011538707,0.0,165.8761417848401,166.02505493164062
22,2022-08-24,0.0,0.0046069017,0.0,166.11439759660914,166.3228759765625
23,2022-08-25,0.0,0.025899304,0.0,167.56389245812238,168.8048858642578
24,2022-08-26,0.0,0.015079525,1.0,169.34097430678906,162.4410400390625
25,2022-08-29,0.0,0.016983304,0.0,159.98887041783536,160.21722412109375
26,2022-08-30,0.0,0.0030223082,1.0,160.96181490043665,157.7650146484375
27,2022-08-31,0.0,0.2159499,1.0,159.15490524313924,156.08717346191406
28,2022-09-01,1.0,0.5209305,0.0,155.51135739433735,156.8218536376953
29,2022-09-02,0.0,0.22636424,1.0,158.5989298575559,154.68731689453125
30,2022-09-05,1.0,0.6064152,1.0,158.5989298575559,154.68731689453125
31,2022-09-06,1.0,0.7555026,1.0,155.3425581971111,153.41653442382812
32,2022-09-07,1.0,0.7933992,0.0,153.70445750941045,154.83624267578125
33,2022-09-08,0.0,0.44844,0.0,153.52575691445264,153.34706115722656
34,2022-09-09,0.0,0.07134311,0.0,154.3497802721592,156.236083984375
35,2022-09-13,1.0,0.5808102,1.0,158.7478546153366,152.7315216064453
36,2022-09-14,0.0,0.110026374,0.0,153.67467577268457,154.19093322753906
37,2022-09-15,0.0,0.13285367,1.0,153.5356649987344,151.2720947265625
38,2022-09-16,0.0,0.18461315,0.0,150.12048596867,149.61415100097656
39,2022-09-19,0.0,0.0077981637,0.0,148.2341515860475,153.3668975830078
40,2022-09-20,0.0,0.40030426,0.0,152.29470395440975,155.7694854736328
41,2022-09-21,0.0,0.07662012,1.0,156.2063080592874,152.61239624023438
42,2022-09-22,0.0,0.08003612,0.0,151.2820434173796,151.6394500732422
43,2022-09-23,0.0,0.08172756,1.0,150.10061818693703,149.34608459472656
44,2022-09-26,0.0,0.17594251,0.0,148.58165210914038,149.68365478515625
45,2022-09-27,1.0,0.614544,1.0,151.63946888432034,150.66651916503906
46,2022-09-28,1.0,0.843271,0.0,146.5762002772719,148.76034545898438
47,2022-09-29,0.0,0.07660032,1.0,145.04729586269698,141.453369140625
48,2022-09-30,0.0,0.016005715,1.0,140.26201750826434,137.20420837402344
49,2022-10-03,0.0,0.19522105,0.0,137.21414468742694,141.423583984375
50,2022-10-05,0.0,0.047342155,0.0,143.03192520542137,145.34512329101562
51,2022-10-06,0.0,0.2339783,0.0,144.75939268787417,144.3821258544922
52,2022-10-07,0.0,0.35247844,1.0,141.51295627794573,139.0806121826172
53,2022-10-10,1.0,0.6410867,0.0,139.408203125,139.408203125
54,2022-10-11,0.0,0.4416535,1.0,138.8919457908467,137.97857666015625
55,2022-10-12,0.0,0.3412034,1.0,138.12751689726448,137.34320068359375
56,2022-10-13,1.0,0.9018638,0.0,134.0173593540725,141.959716796875
57,2022-10-14,1.0,0.7547285,1.0,143.2701839201979,137.38291931152344
58,2022-10-17,1.0,0.64410293,0.0,140.0535546210493,141.38389587402344
59,2022-10-18,0.0,0.26694235,1.0,144.44170157280954,142.7142333984375
60,2022-10-19,0.0,0.113034576,0.0,140.66907795503278,142.8234405517578
61,2022-10-20,0.0,0.2935189,0.0,141.98949760284214,142.35682678222656
62,2022-10-21,0.0,0.30520093,0.0,141.84057185832185,146.20887756347656
63,2022-10-24,0.0,0.2373177,0.0,146.12944328745533,148.37315368652344
64,2022-10-25,0.0,0.05074171,0.0,149.00855202580496,151.24234008789062
65,2022-10-26,0.0,0.018479992,1.0,149.8722799215296,148.2738800048828
66,2022-10-27,0.0,0.08406672,1.0,147.00311083214885,143.7566680908203
67,2022-10-28,0.0,0.012797529,0.0,147.13216351343172,154.6178436279297
68,2022-10-31,0.0,0.09637606,0.0,152.05642692134762,152.23512268066406
69,2022-11-01,0.0,0.08510415,1.0,153.96258681180123,149.5644989013672
70,2022-11-02,0.0,0.02657079,1.0,147.8767693223108,143.98501586914062
