2024-12-26 14:33:14,293 - merger - INFO - consolidate_dir -  -> Combined file=(12671, 2)
2024-12-26 14:33:14,293 - merger - INFO - consolidate_dir - ['date', 'treasury']
2024-12-26 14:33:14,303 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/treasury/combined.csv =>(12671, 2)
2024-12-26 14:33:14,304 - merger - INFO - consolidate_dir -  -> Combined file=(344, 2)
2024-12-26 14:33:14,305 - merger - INFO - consolidate_dir - ['date', 'gdp']
2024-12-26 14:33:14,306 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/gdp/combined.csv =>(344, 2)
2024-12-26 14:33:14,308 - merger - INFO - consolidate_dir -  -> Combined file=(254, 3)
2024-12-26 14:33:14,308 - merger - INFO - consolidate_dir - ['date', 'score', 'rating']
2024-12-26 14:33:14,310 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/fear_n_greed/combined.csv =>(253, 3)
2024-12-26 14:33:14,311 - merger - INFO - consolidate_dir -  -> Combined file=(935, 2)
2024-12-26 14:33:14,311 - merger - INFO - consolidate_dir - ['date', 'cpi']
2024-12-26 14:33:14,312 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/cpi/combined.csv =>(935, 2)
2024-12-26 14:33:14,314 - merger - INFO - consolidate_dir -  -> Combined file=(2804, 2)
2024-12-26 14:33:14,314 - merger - INFO - consolidate_dir - ['date', 'mortgage']
2024-12-26 14:33:14,318 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/mortgage/combined.csv =>(2804, 2)
2024-12-26 14:33:14,320 - merger - INFO - consolidate_dir -  -> Combined file=(923, 2)
2024-12-26 14:33:14,320 - merger - INFO - consolidate_dir - ['date', 'unemployment']
2024-12-26 14:33:14,322 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/unemployment/combined.csv =>(923, 2)
2024-12-26 14:33:14,324 - merger - INFO - consolidate_dir -  -> Combined file=(6, 2)
2024-12-26 14:33:14,324 - merger - INFO - consolidate_dir - ['Date', 'Stock Splits']
2024-12-26 14:33:38,332 - merger - INFO - consolidate_dir -  -> Combined file=(12671, 2)
2024-12-26 14:33:38,332 - merger - INFO - consolidate_dir - ['date', 'treasury']
2024-12-26 14:33:38,339 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/treasury/combined.csv =>(12671, 2)
2024-12-26 14:33:38,341 - merger - INFO - consolidate_dir -  -> Combined file=(254, 3)
2024-12-26 14:33:38,341 - merger - INFO - consolidate_dir - ['date', 'score', 'rating']
2024-12-26 14:33:38,342 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/fear_n_greed/combined.csv =>(253, 3)
2024-12-26 14:33:38,344 - merger - INFO - consolidate_dir -  -> Combined file=(2804, 2)
2024-12-26 14:33:38,344 - merger - INFO - consolidate_dir - ['date', 'mortgage']
2024-12-26 14:33:38,347 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/mortgage/combined.csv =>(2804, 2)
2024-12-26 14:33:38,348 - merger - INFO - consolidate_dir -  -> Combined file=(344, 2)
2024-12-26 14:33:38,348 - merger - INFO - consolidate_dir - ['date', 'gdp']
2024-12-26 14:33:38,349 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/gdp/combined.csv =>(344, 2)
2024-12-26 14:33:38,351 - merger - INFO - consolidate_dir -  -> Combined file=(935, 2)
2024-12-26 14:33:38,351 - merger - INFO - consolidate_dir - ['date', 'cpi']
2024-12-26 14:33:38,352 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/cpi/combined.csv =>(935, 2)
2024-12-26 14:33:38,354 - merger - INFO - consolidate_dir -  -> Combined file=(923, 2)
2024-12-26 14:33:38,354 - merger - INFO - consolidate_dir - ['date', 'unemployment']
2024-12-26 14:33:38,355 - merger - INFO - consolidate_dir -  ->Exported combined CSV: ./files/economy/unemployment/combined.csv =>(923, 2)
2024-12-26 14:33:38,356 - merger - INFO - consolidate_dir -  -> Combined file=(294, 2)
2024-12-26 14:33:38,356 - merger - INFO - consolidate_dir - ['Unnamed: 0', 'shares']
