Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2000-10-18 00:00:00-04:00,0.01,0.01,-0.0394
2000-07-18 00:00:00-04:00,0.01,0.01,0.0308
2000-04-19 00:00:00-04:00,0.01,0.01,0.0962
2000-01-19 00:00:00-05:00,0.01,0.01,0.1121
1999-10-13 00:00:00-04:00,,,0.1262
1999-07-14 00:00:00-04:00,0.01,0.01,0.07690000000000001
1999-04-14 00:00:00-04:00,0.01,0.01,0.1925
1999-01-13 00:00:00-05:00,0.01,0.01,0.1262
1998-10-14 00:00:00-04:00,,0.01,0.3986
1998-07-15 00:00:00-04:00,,0.01,0.6835
1998-04-15 00:00:00-04:00,,,1.5682
1998-01-14 00:00:00-05:00,,,0.2241
1997-10-15 00:00:00-04:00,,,-0.5044
1997-07-16 00:00:00-04:00,-0.01,,0.2682
1997-04-16 00:00:00-04:00,-0.01,-0.01,-0.18280000000000002
1997-01-15 00:00:00-05:00,-0.01,-0.01,-0.4827
1996-10-16 00:00:00-04:00,,,1.1843000000000001
1996-07-17 00:00:00-04:00,-0.01,-0.01,0.5162
1996-04-17 00:00:00-04:00,-0.01,-0.02,-0.406
1996-01-17 00:00:00-05:00,,,-0.5872999999999999
1995-10-18 00:00:00-04:00,,,-0.07940000000000001
1995-07-20 00:00:00-04:00,0.01,0.01,-0.0518
1995-04-20 00:00:00-04:00,0.01,0.01,-0.36810000000000004
1995-01-19 00:00:00-05:00,0.01,0.01,0.3471
1994-10-17 00:00:00-04:00,0.01,0.01,0.2452
1994-07-22 00:00:00-04:00,,,0.42490000000000006
1994-04-21 00:00:00-04:00,,,-0.4148
1994-01-21 00:00:00-05:00,,,0.041100000000000005
1993-10-15 00:00:00-04:00,,,1.6
1993-07-16 00:00:00-04:00,0.01,,-0.8895000000000001
1993-04-20 00:00:00-04:00,0.01,0.01,-0.0898
1993-01-16 00:00:00-05:00,0.01,0.01,0.0059
