date,score,rating
2023-12-27,81.25714285714287,extreme greed
2023-12-28,80.71428571428571,extreme greed
2024-01-01,79.71428571428571,extreme greed
2024-01-02,76.71428571428571,extreme greed
2024-01-03,78.68571428571428,extreme greed
2024-01-04,75.77142857142859,extreme greed
2024-01-07,76.17142857142856,extreme greed
2024-01-08,75.68571428571428,extreme greed
2024-01-09,76.37142857142858,extreme greed
2024-01-10,74.65714285714286,greed
2024-01-11,73.08571428571429,greed
2024-01-15,72.28571428571429,greed
2024-01-16,57.21428571428572,greed
2024-01-17,66.45714285714286,greed
2024-01-18,72.82857142857144,greed
2024-01-21,72.85714285714286,greed
2024-01-22,70.25714285714287,greed
2024-01-23,72.48571428571428,greed
2024-01-24,73.22857142857143,greed
2024-01-25,73.79999999999998,greed
2024-01-28,74.11428571428573,greed
2024-01-29,74.22857142857143,greed
2024-01-30,64.11428571428573,greed
2024-01-31,72.34285714285714,greed
2024-02-01,74.60000000000001,greed
2024-02-04,73.31428571428572,greed
2024-02-05,73.20000000000002,greed
2024-02-06,73.77142857142857,greed
2024-02-07,74.60000000000001,greed
2024-02-08,75.42857142857143,extreme greed
2024-02-11,75.82857142857144,extreme greed
2024-02-12,66.74285714285715,greed
2024-02-13,67.51428571428572,greed
2024-02-14,73.85714285714286,greed
2024-02-15,73.48571428571428,greed
2024-02-19,63.74285714285715,greed
2024-02-20,63.7,greed
2024-02-21,73.94285714285715,greed
2024-02-22,73.34285714285714,greed
2024-02-25,71.91428571428573,greed
2024-02-26,75.77142857142859,extreme greed
2024-02-27,76.77142857142859,extreme greed
2024-02-28,77.45714285714287,extreme greed
2024-02-29,76.82857142857142,extreme greed
2024-03-03,79.22857142857143,extreme greed
2024-03-04,76.11428571428571,extreme greed
2024-03-05,72.54285714285714,greed
2024-03-06,73.85714285714286,greed
2024-03-07,70.02857142857144,greed
2024-03-10,62.771428571428565,greed
2024-03-11,72.2,greed
2024-03-12,71.77142857142857,greed
2024-03-13,70.4,greed
2024-03-14,68.62857142857143,greed
2024-03-17,70.74285714285715,greed
2024-03-18,70.85714285714286,greed
2024-03-19,69.62857142857145,greed
2024-03-20,71.37142857142858,greed
2024-03-21,69.51428571428572,greed
2024-03-24,67.42857142857143,greed
2024-03-25,67.91428571428573,greed
2024-03-26,69.77142857142859,greed
2024-03-27,68.77142857142857,greed
2024-03-31,71.25714285714287,greed
2024-04-01,71.14285714285715,greed
2024-04-02,69.4,greed
2024-04-03,53.800000000000004,neutral
2024-04-04,58.10000000000001,greed
2024-04-07,64.02857142857144,greed
2024-04-08,59.62857142857144,greed
2024-04-09,49.67142857142858,neutral
2024-04-10,56.65714285714286,greed
2024-04-11,45.01428571428572,neutral
2024-04-14,38.4,fear
2024-04-15,35.11428571428572,fear
2024-04-16,31.157142857142862,fear
2024-04-17,30.400000000000006,fear
2024-04-18,27.671428571428574,fear
