Date,SPY
2014-06-16,163.74893188476562
2014-06-23,164.43283081054688
2014-06-30,166.4313201904297
2014-07-07,165.09616088867188
2014-07-14,166.01988220214844
2014-07-21,166.02825927734375
2014-07-28,161.64500427246094
2014-08-04,162.26637268066406
2014-08-11,164.3488311767578
2014-08-18,167.26263427734375
2014-08-25,168.5389862060547
2014-09-01,168.87481689453125
2014-09-08,167.21226501464844
2014-09-15,168.53057861328125
2014-09-22,166.95623779296875
2014-09-29,165.7919921875
2014-10-06,160.7470703125
2014-10-13,159.00067138671875
2014-10-20,165.7160186767578
2014-10-27,170.12831115722656
2014-11-03,171.5456085205078
2014-11-10,172.30491638183594
2014-11-17,174.36337280273438
2014-11-24,174.80201721191406
2014-12-01,175.4769287109375
2014-12-08,169.47869873046875
2014-12-15,174.2283935546875
2014-12-22,176.81871032714844
2014-12-29,174.26528930664062
2015-01-05,173.2643280029297
2015-01-12,171.04177856445312
2015-01-19,173.87513732910156
2015-01-26,169.1925048828125
2015-02-02,174.36715698242188
2015-02-09,177.9553985595703
2015-02-16,179.1939697265625
2015-02-23,178.70187377929688
2015-03-02,176.02125549316406
2015-03-09,174.60464477539062
2015-03-16,178.48989868164062
2015-03-23,175.307373046875
2015-03-30,175.90382385253906
2015-04-06,178.97129821777344
2015-04-13,177.19046020507812
2015-04-20,180.3431854248047
2015-04-27,179.55072021484375
2015-05-04,180.31756591796875
2015-05-11,181.0163116455078
2015-05-18,181.4849853515625
2015-05-25,179.9086151123047
2015-06-01,178.74124145507812
2015-06-08,178.94580078125
2015-06-15,179.6273956298828
2015-06-22,179.6534881591797
2015-06-29,177.50437927246094
2015-07-06,177.64991760253906
2015-07-13,181.9310302734375
2015-07-20,178.09515380859375
2015-07-27,180.23573303222656
2015-08-03,178.0523223876953
2015-08-10,179.31106567382812
2015-08-17,169.38734436035156
2015-08-24,170.62881469726562
2015-08-31,164.9006805419922
2015-09-07,168.45408630371094
2015-09-14,167.34954833984375
2015-09-21,165.98182678222656
2015-09-28,167.83226013183594
2015-10-05,173.2803497314453
2015-10-12,174.95010375976562
2015-10-19,178.59933471679688
2015-10-26,178.96075439453125
2015-11-02,180.7768096923828
2015-11-09,174.3217315673828
2015-11-16,180.1485137939453
2015-11-23,180.36373901367188
2015-11-30,180.4153594970703
2015-12-07,173.7537384033203
2015-12-14,172.15283203125
2015-12-21,178.0778350830078
2015-12-28,176.51068115234375
2016-01-04,166.1644287109375
2016-01-11,162.60601806640625
2016-01-18,164.95230102539062
2016-01-25,167.7228546142578
2016-02-01,162.72720336914062
2016-02-08,161.58436584472656
2016-02-15,166.23365783691406
2016-02-22,168.90902709960938
2016-02-29,173.53236389160156
2016-03-07,175.54971313476562
2016-03-14,176.9523162841797
2016-03-21,176.7683868408203
2016-03-28,180.07545471191406
2016-04-04,177.96939086914062
2016-04-11,180.8238983154297
2016-04-18,181.85946655273438
2016-04-25,179.5619659423828
2016-05-02,179.03111267089844
2016-05-09,178.1956329345703
2016-05-16,178.83094787597656
2016-05-23,182.96470642089844
2016-05-30,182.99952697753906
2016-06-06,182.8167724609375
2016-06-13,179.72735595703125
2016-06-20,177.7926788330078
2016-06-27,183.6362762451172
2016-07-04,186.02442932128906
2016-07-11,188.8063201904297
2016-07-18,190.03973388671875
2016-07-25,189.93479919433594
2016-08-01,190.8620147705078
2016-08-08,191.10702514648438
2016-08-15,191.17697143554688
2016-08-22,190.08348083496094
2016-08-29,191.02825927734375
2016-09-05,186.57553100585938
2016-09-12,186.65432739257812
2016-09-19,189.90066528320312
2016-09-26,190.17324829101562
2016-10-03,189.0654754638672
2016-10-10,187.37733459472656
2016-10-17,188.1334686279297
2016-10-24,186.867431640625
2016-10-31,183.3593292236328
2016-11-07,190.27874755859375
2016-11-14,192.10752868652344
2016-11-21,194.76272583007812
2016-11-28,193.14492797851562
2016-12-05,199.15000915527344
2016-12-12,197.8575439453125
2016-12-19,199.61627197265625
2016-12-26,197.68832397460938
2017-01-02,200.94285583496094
2017-01-09,200.8013916015625
2017-01-16,200.52723693847656
2017-01-23,202.4993896484375
2017-01-30,202.82659912109375
2017-02-06,204.74574279785156
2017-02-13,207.91189575195312
2017-02-20,209.37109375
2017-02-27,210.8568878173828
2017-03-06,210.21124267578125
2017-03-13,209.6276397705078
2017-03-20,207.723876953125
2017-03-27,209.3937530517578
2017-04-03,208.9140625
2017-04-10,206.52474975585938
2017-04-17,208.37225341796875
2017-04-24,211.47218322753906
2017-05-01,212.9111785888672
2017-05-08,212.27163696289062
2017-05-15,211.6765594482422
2017-05-22,214.69651794433594
2017-05-29,216.881591796875
2017-06-05,216.20657348632812
2017-06-12,215.5225830078125
2017-06-19,217.010986328125
2017-06-26,215.8238067626953
2017-07-03,216.10055541992188
2017-07-10,219.1798858642578
2017-07-17,220.35813903808594
2017-07-24,220.38491821289062
2017-07-31,220.8312225341797
2017-08-07,217.8946075439453
2017-08-14,216.63609313964844
2017-08-21,218.287353515625
2017-08-28,221.21499633789062
2017-09-04,220.09033203125
2017-09-11,222.42001342773438
2017-09-18,223.74806213378906
2017-09-25,225.35366821289062
2017-10-02,228.17022705078125
2017-10-09,228.69052124023438
2017-10-16,230.6280059814453
2017-10-23,231.1662139892578
2017-10-30,231.8300018310547
2017-11-06,231.507080078125
2017-11-13,231.30076599121094
2017-11-20,233.54327392578125
2017-11-27,237.22097778320312
2017-12-04,238.162841796875
2017-12-11,239.05982971191406
2017-12-18,241.1833953857422
2017-12-25,240.59735107421875
2018-01-01,246.51174926757812
2018-01-08,250.56887817382812
