Date,HYG
2014-06-16,56.595558166503906
2014-06-23,56.56586456298828
2014-06-30,56.239322662353516
2014-07-07,56.33653259277344
2014-07-14,55.978736877441406
2014-07-21,56.07415008544922
2014-07-28,54.88155746459961
2014-08-04,55.7076530456543
2014-08-11,56.34270095825195
2014-08-18,56.39064025878906
2014-08-25,56.45652389526367
2014-09-01,55.869422912597656
2014-09-08,55.77043151855469
2014-09-15,56.065345764160156
2014-09-22,55.09638977050781
2014-09-29,55.45750427246094
2014-10-06,54.76962661743164
2014-10-13,55.46467971801758
2014-10-20,56.08116149902344
2014-10-27,55.92402648925781
2014-11-03,55.809146881103516
2014-11-10,55.51362991333008
2014-11-17,55.695762634277344
2014-11-24,55.31938934326172
2014-12-01,54.82161331176758
2014-12-08,53.20754623413086
2014-12-15,55.02482986450195
2014-12-22,54.86628341674805
2014-12-29,54.87516403198242
2015-01-05,55.18136215209961
2015-01-12,54.85676574707031
2015-01-19,55.126258850097656
2015-01-26,55.260963439941406
2015-02-02,55.69580841064453
2015-02-09,56.03273010253906
2015-02-16,56.2110710144043
2015-02-23,56.493953704833984
2015-03-02,55.725250244140625
2015-03-09,55.70524597167969
2015-03-16,55.85350799560547
2015-03-23,55.87202072143555
2015-03-30,55.86583709716797
2015-04-06,56.61978530883789
2015-04-13,56.47090530395508
2015-04-20,56.65079879760742
2015-04-27,56.322021484375
2015-05-04,56.752662658691406
2015-05-11,56.70903015136719
2015-05-18,56.58440017700195
2015-05-25,56.646732330322266
2015-06-01,55.73073959350586
2015-06-08,55.86564636230469
2015-06-15,56.10347366333008
2015-06-22,55.696632385253906
2015-06-29,55.54644012451172
2015-07-06,55.82605743408203
2015-07-13,55.756919860839844
2015-07-20,54.851600646972656
2015-07-27,55.30423355102539
2015-08-03,54.51212692260742
2015-08-10,54.55025100708008
2015-08-17,53.96926498413086
2015-08-24,54.5375862121582
2015-08-31,54.28498458862305
2015-09-07,54.86969757080078
2015-09-14,54.45738220214844
2015-09-21,53.32828140258789
2015-09-28,52.2943229675293
2015-10-05,54.2472038269043
2015-10-12,54.35555648803711
2015-10-19,54.70610427856445
2015-10-26,54.540374755859375
2015-11-02,53.88389587402344
2015-11-09,53.14704895019531
2015-11-16,53.0445671081543
2015-11-23,53.21108627319336
2015-11-30,52.92931365966797
2015-12-07,51.16389465332031
2015-12-14,51.170310974121094
2015-12-21,51.78799057006836
2015-12-28,52.11957550048828
2016-01-04,51.4339599609375
2016-01-11,50.39262771606445
2016-01-18,50.98765563964844
2016-01-25,51.285221099853516
2016-02-01,50.062744140625
2016-02-08,49.86880111694336
2016-02-15,50.46684265136719
2016-02-22,51.50035858154297
2016-02-29,52.566368103027344
2016-03-07,53.67271041870117
2016-03-14,53.84260940551758
2016-03-21,53.156490325927734
2016-03-28,53.16957473754883
2016-04-04,53.515865325927734
2016-04-11,54.15264129638672
2016-04-18,54.75004959106445
2016-04-25,55.04545974731445
2016-05-02,54.178924560546875
2016-05-09,54.59173583984375
2016-05-16,54.82912826538086
2016-05-23,55.191856384277344
2016-05-30,55.073177337646484
2016-06-06,55.55127716064453
2016-06-13,55.0874137878418
2016-06-20,55.16694641113281
2016-06-27,55.97540283203125
2016-07-04,56.98467254638672
2016-07-11,57.01130294799805
2016-07-18,57.37082290649414
2016-07-25,56.86482620239258
2016-08-01,56.951416015625
2016-08-08,57.72289276123047
2016-08-15,57.910118103027344
2016-08-22,57.89006423950195
2016-08-29,58.117431640625
2016-09-05,57.60826110839844
2016-09-12,57.702308654785156
2016-09-19,58.2732048034668
2016-09-26,58.609031677246094
2016-10-03,58.535133361816406
2016-10-10,58.59955978393555
2016-10-17,58.943626403808594
2016-10-24,58.20827865600586
2016-10-31,57.331268310546875
2016-11-07,56.56636428833008
2016-11-14,57.35247039794922
2016-11-21,58.09792709350586
2016-11-28,57.86077117919922
2016-12-05,58.8748779296875
2016-12-12,58.57536697387695
2016-12-19,58.94975280761719
2016-12-26,59.11107635498047
2017-01-02,59.57550048828125
2017-01-09,59.636940002441406
2017-01-16,59.55500793457031
2017-01-23,59.83502960205078
2017-01-30,59.746253967285156
2017-02-06,60.042972564697266
2017-02-13,60.20760726928711
2017-02-20,60.53688430786133
2017-02-27,60.35852813720703
2017-03-06,59.45780944824219
2017-03-13,59.995235443115234
2017-03-20,59.82299041748047
2017-03-27,60.477508544921875
2017-04-03,60.20881271362305
2017-04-10,60.348148345947266
2017-04-17,60.611061096191406
2017-04-24,60.970855712890625
2017-05-01,60.59720230102539
2017-05-08,61.134124755859375
2017-05-15,61.27312469482422
2017-05-22,61.54408645629883
2017-05-29,61.55105972290039
2017-06-05,61.63249588012695
2017-06-12,61.51385498046875
2017-06-19,61.54874038696289
2017-06-26,61.68135452270508
2017-07-03,61.13004684448242
2017-07-10,62.04366683959961
2017-07-17,62.1838264465332
2017-07-24,62.309993743896484
2017-07-31,62.022666931152344
2017-08-07,61.457027435302734
2017-08-14,61.5555419921875
2017-08-21,62.083412170410156
2017-08-28,62.15374755859375
2017-09-04,62.03987503051758
2017-09-11,62.47799301147461
2017-09-18,62.492149353027344
2017-09-25,62.725318908691406
2017-10-02,62.4709358215332
2017-10-09,62.679222106933594
2017-10-16,62.934669494628906
2017-10-23,62.77855682373047
2017-10-30,62.43086242675781
2017-11-06,62.07027053833008
2017-11-13,62.3267936706543
2017-11-20,62.611854553222656
2017-11-27,62.26264953613281
2017-12-04,62.50619125366211
2017-12-11,62.40603256225586
2017-12-18,62.2557373046875
2017-12-25,62.701416015625
2018-01-01,63.211551666259766
