Date,INTC
2014-06-16,23.105812072753906
2014-06-23,23.664331436157227
2014-06-30,23.824996948242188
2014-07-07,23.909154891967773
2014-07-14,25.783634185791016
2014-07-21,26.20443344116211
2014-07-28,25.814239501953125
2014-08-04,24.942031860351562
2014-08-11,26.317123413085938
2014-08-18,26.910167694091797
2014-08-25,26.894771575927734
2014-09-01,26.956378936767578
2014-09-08,26.663713455200195
2014-09-15,26.817745208740234
2014-09-22,26.386449813842773
2014-09-29,26.209306716918945
2014-10-06,24.576522827148438
2014-10-13,24.168319702148438
2014-10-20,25.554649353027344
2014-10-27,26.193897247314453
2014-11-03,25.86271858215332
2014-11-10,26.319133758544922
2014-11-17,27.59052276611328
2014-11-24,28.87740707397461
2014-12-01,29.203004837036133
2014-12-08,28.086660385131836
2014-12-15,28.195205688476562
2014-12-22,29.1099796295166
2014-12-29,28.187456130981445
2015-01-05,28.497543334960938
2015-01-12,28.25722312927246
2015-01-19,28.25722312927246
2015-01-26,25.613677978515625
2015-02-02,25.815237045288086
2015-02-09,26.828046798706055
2015-02-16,26.867082595825195
2015-02-23,25.96136474609375
2015-03-02,25.91451644897461
2015-03-09,24.149925231933594
2015-03-16,24.446626663208008
2015-03-23,24.98537254333496
2015-03-30,24.056228637695312
2015-04-06,24.93071746826172
2015-04-13,25.352346420288086
2015-04-20,25.047832489013672
2015-04-27,26.09409523010254
2015-05-04,25.610004425048828
2015-05-11,25.94462013244629
2015-05-18,26.30638313293457
2015-05-25,27.100685119628906
2015-06-01,25.04021644592285
2015-06-08,24.63126564025879
2015-06-15,25.22109031677246
2015-06-22,24.395339965820312
2015-06-29,24.03357696533203
2015-07-06,22.9404296875
2015-07-13,23.176361083984375
2015-07-20,22.067474365234375
2015-07-27,22.767406463623047
2015-08-03,22.712350845336914
2015-08-10,23.012046813964844
2015-08-17,21.061338424682617
2015-08-24,22.53626823425293
2015-08-31,22.615564346313477
2015-09-07,23.3688907623291
2015-09-14,23.012046813964844
2015-09-21,22.84552574157715
2015-09-28,24.19358253479004
2015-10-05,25.486125946044922
2015-10-12,26.199804306030273
2015-10-19,27.674728393554688
2015-10-26,26.850040435791016
2015-11-02,26.83418083190918
2015-11-09,25.64170265197754
2015-11-16,27.678020477294922
2015-11-23,27.518312454223633
2015-11-30,27.9016170501709
2015-12-07,27.3665828704834
2015-12-14,27.047163009643555
2015-12-21,27.933555603027344
2015-12-28,27.510324478149414
2016-01-04,25.162561416625977
2016-01-11,23.765085220336914
2016-01-18,23.900846481323242
2016-01-25,24.771270751953125
2016-02-01,23.190128326416016
2016-02-08,23.072002410888672
2016-02-15,23.12839126586914
2016-02-22,24.006481170654297
2016-02-29,24.675111770629883
2016-03-07,25.585433959960938
2016-03-14,26.32657241821289
2016-03-21,25.682106018066406
2016-03-28,26.141284942626953
2016-04-04,25.480709075927734
2016-04-11,25.34375762939453
2016-04-18,25.4887638092041
2016-04-25,24.393163681030273
2016-05-02,24.1998291015625
2016-05-09,24.3032283782959
2016-05-16,24.49823570251465
2016-05-23,25.652053833007812
2016-05-30,25.692678451538086
2016-06-06,26.033950805664062
2016-06-13,25.806432723999023
2016-06-20,25.635805130004883
2016-06-27,26.610855102539062
2016-07-04,27.626541137695312
2016-07-11,28.495962142944336
2016-07-18,28.16282081604004
2016-07-25,28.32532501220703
2016-08-01,28.422832489013672
2016-08-08,28.3026123046875
2016-08-15,28.851146697998047
2016-08-22,28.867525100708008
2016-08-29,29.538854598999023
2016-09-05,29.014888763427734
2016-09-12,30.840593338012695
2016-09-19,30.447620391845703
2016-09-26,30.906091690063477
2016-10-03,31.19264030456543
2016-10-10,30.66047477722168
2016-10-17,28.7774600982666
2016-10-24,28.441795349121094
2016-10-31,27.516660690307617
2016-11-07,28.549894332885742
2016-11-14,28.830360412597656
2016-11-21,29.23456573486328
2016-11-28,28.178693771362305
2016-12-05,29.4985408782959
2016-12-12,29.95223045349121
2016-12-19,30.496673583984375
2016-12-26,29.91923713684082
2017-01-02,30.092464447021484
2017-01-09,30.348186492919922
2017-01-16,30.471923828125
2017-01-23,31.329830169677734
2017-01-30,30.12545394897461
2017-02-06,29.360193252563477
2017-02-13,30.307287216186523
2017-02-20,30.348833084106445
2017-02-27,29.825429916381836
2017-03-06,29.833740234375
2017-03-13,29.302040100097656
2017-03-20,29.21064567565918
2017-03-27,29.9666748046875
2017-04-03,29.933427810668945
2017-04-10,29.285417556762695
2017-04-17,30.17436981201172
2017-04-24,30.03312873840332
2017-05-01,30.589763641357422
2017-05-08,29.73763656616211
2017-05-15,29.628826141357422
2017-05-22,30.34861946105957
2017-05-29,30.398845672607422
2017-06-05,29.888288497924805
2017-06-12,29.469799041748047
2017-06-19,28.6160888671875
2017-06-26,28.23945426940918
2017-07-03,28.356632232666016
2017-07-10,29.026203155517578
2017-07-17,29.068058013916016
2017-07-24,29.553499221801758
2017-07-31,30.382102966308594
2017-08-07,30.24757957458496
2017-08-14,29.522380828857422
2017-08-21,29.235675811767578
2017-08-28,29.58983612060547
2017-09-04,29.674152374267578
2017-09-11,31.200458526611328
2017-09-18,31.352245330810547
2017-09-25,32.11116409301758
2017-10-02,33.418216705322266
2017-10-09,33.45194625854492
2017-10-16,34.09281921386719
2017-10-23,37.440555572509766
2017-10-30,39.076454162597656
2017-11-06,38.435577392578125
2017-11-13,37.857513427734375
2017-11-20,37.95931625366211
2017-11-27,37.89993667602539
2017-12-04,36.771759033203125
2017-12-11,37.79814147949219
2017-12-18,39.613407135009766
2017-12-25,39.155357360839844
2018-01-01,37.950828552246094
