date,label,close
2024-12-30 20:40:00,Sell,[138.6499939]
2024-12-30 20:49:00,Buy,[138.3500061]
2024-12-30 20:17:00,Sell,[139.36999512]
2024-12-30 20:23:00,Buy,[139.0632019]
2024-12-30 20:24:00,Sell,[139.05000305]
2024-12-30 20:28:00,Buy,[138.7250061]
2024-12-30 20:52:00,Sell,[138.61990356]
2024-12-30 20:55:00,Buy,[138.28500366]
2024-12-30 20:56:00,Sell,[137.91000366]
2024-12-30 20:59:00,Buy,[137.41000366]
