date,close,label
2024-12-19 14:37:00,[130.12989807],Sell
2024-12-19 14:44:00,[130.875],Buy
2024-12-19 15:04:00,[130.57499695],Sell
2024-12-19 15:06:00,[130.06759644],Buy
2024-12-19 15:07:00,[130.33999634],Sell
2024-12-19 15:19:00,[131.75990295],Buy
2024-12-19 15:27:00,[130.83999634],Sell
2024-12-19 15:35:00,[129.80020142],Buy
2024-12-19 15:36:00,[129.97000122],Sell
2024-12-19 15:56:00,[131.5269928],Buy
2024-12-19 16:12:00,[131.19999695],Sell
2024-12-19 16:34:00,[133.1822052],Buy
2024-12-19 17:08:00,[132.86000061],Sell
2024-12-19 17:28:00,[131.49000549],Buy
2024-12-19 17:29:00,[131.61729431],Sell
2024-12-19 17:36:00,[132.1309967],Buy
2024-12-19 18:53:00,[132.1999054],Sell
2024-12-19 19:00:00,[132.73500061],Buy
2024-12-19 19:29:00,[132.04089355],Sell
2024-12-19 19:43:00,[131.6072998],Buy
2024-12-19 20:32:00,[131.60499573],Sell
2024-12-19 20:36:00,[130.6000061],Buy
2024-12-19 20:48:00,[130.8999939],Sell
2024-12-19 20:54:00,[130.55499268],Buy
