date,close,label
2024-12-20 14:41:00,[129.61000061],Sell
2024-12-20 14:44:00,[129.14500427],Buy
2024-12-20 14:51:00,[128.69500732],Sell
2024-12-20 15:08:00,[130.86740112],Buy
2024-12-20 15:12:00,[130.82499695],Sell
2024-12-20 15:40:00,[133.14970398],Buy
2024-12-20 16:01:00,[133.08000183],Sell
2024-12-20 16:07:00,[133.61000061],Buy
2024-12-20 16:32:00,[134.17500305],Sell
2024-12-20 16:44:00,[134.75079346],Buy
2024-12-20 17:30:00,[134.89819336],Sell
2024-12-20 17:33:00,[134.41999817],Buy
2024-12-20 17:35:00,[134.63999939],Sell
2024-12-20 17:42:00,[135.11000061],Buy
2024-12-20 20:45:00,[133.36999512],Sell
2024-12-20 20:59:00,[134.96000671],Buy
2024-12-20 19:09:00,[134.38989258],Sell
2024-12-20 19:31:00,[134.85009766],Buy
