date,close,label
2024-12-26 14:37:00,[140.61849976],Sell
2024-12-26 14:54:00,[138.61999512],Buy
2024-12-26 14:55:00,[138.75999451],Sell
2024-12-26 15:04:00,[139.02999878],Buy
2024-12-26 15:08:00,[138.55810547],Sell
2024-12-26 15:18:00,[137.8500061],Buy
2024-12-26 15:21:00,[138.00999451],Sell
2024-12-26 15:30:00,[138.72970581],Buy
2024-12-26 15:37:00,[138.99000549],Sell
2024-12-26 16:03:00,[139.52999878],Buy
2024-12-26 16:18:00,[139.49499512],Sell
2024-12-26 16:27:00,[139.14909363],Buy
2024-12-26 16:55:00,[139.40379333],Sell
2024-12-26 17:19:00,[140.32290649],Buy
2024-12-26 17:36:00,[140.05000305],Sell
2024-12-26 17:49:00,[139.60980225],Buy
