date,close,label
2024-12-23 14:33:00,[136.88999939],Sell
2024-12-23 14:39:00,[137.69889832],Buy
2024-12-23 14:43:00,[136.8500061],Sell
2024-12-23 14:47:00,[136.39259338],Buy
2024-12-23 15:03:00,[137.05000305],Sell
2024-12-23 15:11:00,[135.41990662],Buy
2024-12-23 15:24:00,[136.667099],Sell
2024-12-23 15:36:00,[135.8999939],Buy
2024-12-23 15:37:00,[136.05000305],Sell
2024-12-23 15:41:00,[136.88879395],Buy
2024-12-23 15:59:00,[136.55000305],Sell
2024-12-23 16:10:00,[137.35820007],Buy
2024-12-23 16:41:00,[137.47000122],Sell
2024-12-23 17:03:00,[138.20500183],Buy
2024-12-23 18:56:00,[139.00999451],Sell
2024-12-23 19:16:00,[139.42500305],Buy
2024-12-23 19:26:00,[139.44160461],Sell
2024-12-23 19:36:00,[139.16990662],Buy
2024-12-23 19:49:00,[139.22000122],Sell
2024-12-23 20:07:00,[138.53999329],Buy
2024-12-23 20:09:00,[138.57000732],Sell
2024-12-23 20:15:00,[138.84989929],Buy
2024-12-23 20:42:00,[139.38000488],Sell
2024-12-23 20:55:00,[139.44000244],Buy
