date,cpi
2020-09-05,259.951
2020-09-06,259.951
2020-09-07,259.951
2020-09-08,259.951
2020-09-09,259.951
2020-09-10,259.951
2020-09-11,259.951
2020-09-12,259.951
2020-09-13,259.951
2020-09-14,259.951
2020-09-15,259.951
2020-09-16,259.951
2020-09-17,259.951
2020-09-18,259.951
2020-09-19,259.951
2020-09-20,259.951
2020-09-21,259.951
2020-09-22,259.951
2020-09-23,259.951
2020-09-24,259.951
2020-09-25,259.951
2020-09-26,259.951
2020-09-27,259.951
2020-09-28,259.951
2020-09-29,259.951
2020-09-30,259.951
2020-10-01,260.249
2020-10-02,260.249
2020-10-03,260.249
2020-10-04,260.249
2020-10-05,260.249
2020-10-06,260.249
2020-10-07,260.249
2020-10-08,260.249
2020-10-09,260.249
2020-10-10,260.249
2020-10-11,260.249
2020-10-12,260.249
2020-10-13,260.249
2020-10-14,260.249
2020-10-15,260.249
2020-10-16,260.249
2020-10-17,260.249
2020-10-18,260.249
2020-10-19,260.249
2020-10-20,260.249
2020-10-21,260.249
2020-10-22,260.249
2020-10-23,260.249
2020-10-24,260.249
2020-10-25,260.249
2020-10-26,260.249
2020-10-27,260.249
2020-10-28,260.249
2020-10-29,260.249
2020-10-30,260.249
2020-10-31,260.249
2020-11-01,260.895
2020-11-02,260.895
2020-11-03,260.895
2020-11-04,260.895
2020-11-05,260.895
2020-11-06,260.895
2020-11-07,260.895
2020-11-08,260.895
2020-11-09,260.895
2020-11-10,260.895
2020-11-11,260.895
2020-11-12,260.895
2020-11-13,260.895
2020-11-14,260.895
2020-11-15,260.895
2020-11-16,260.895
2020-11-17,260.895
2020-11-18,260.895
2020-11-19,260.895
2020-11-20,260.895
2020-11-21,260.895
2020-11-22,260.895
2020-11-23,260.895
2020-11-24,260.895
2020-11-25,260.895
2020-11-26,260.895
2020-11-27,260.895
2020-11-28,260.895
2020-11-29,260.895
2020-11-30,260.895
2020-12-01,262.005
2020-12-02,262.005
2020-12-03,262.005
2020-12-04,262.005
2020-12-05,262.005
2020-12-06,262.005
2020-12-07,262.005
2020-12-08,262.005
2020-12-09,262.005
2020-12-10,262.005
2020-12-11,262.005
2020-12-12,262.005
2020-12-13,262.005
2020-12-14,262.005
2020-12-15,262.005
2020-12-16,262.005
2020-12-17,262.005
2020-12-18,262.005
2020-12-19,262.005
2020-12-20,262.005
2020-12-21,262.005
2020-12-22,262.005
2020-12-23,262.005
2020-12-24,262.005
2020-12-25,262.005
2020-12-26,262.005
2020-12-27,262.005
2020-12-28,262.005
2020-12-29,262.005
2020-12-30,262.005
2020-12-31,262.005
2021-01-01,262.518
2021-01-02,262.518
2021-01-03,262.518
2021-01-04,262.518
2021-01-05,262.518
2021-01-06,262.518
2021-01-07,262.518
2021-01-08,262.518
2021-01-09,262.518
2021-01-10,262.518
2021-01-11,262.518
2021-01-12,262.518
2021-01-13,262.518
2021-01-14,262.518
2021-01-15,262.518
2021-01-16,262.518
2021-01-17,262.518
2021-01-18,262.518
2021-01-19,262.518
2021-01-20,262.518
2021-01-21,262.518
2021-01-22,262.518
2021-01-23,262.518
2021-01-24,262.518
2021-01-25,262.518
2021-01-26,262.518
2021-01-27,262.518
2021-01-28,262.518
2021-01-29,262.518
2021-01-30,262.518
2021-01-31,262.518
2021-02-01,263.583
2021-02-02,263.583
2021-02-03,263.583
2021-02-04,263.583
2021-02-05,263.583
2021-02-06,263.583
2021-02-07,263.583
2021-02-08,263.583
2021-02-09,263.583
2021-02-10,263.583
2021-02-11,263.583
2021-02-12,263.583
2021-02-13,263.583
2021-02-14,263.583
2021-02-15,263.583
2021-02-16,263.583
2021-02-17,263.583
2021-02-18,263.583
2021-02-19,263.583
2021-02-20,263.583
2021-02-21,263.583
2021-02-22,263.583
2021-02-23,263.583
2021-02-24,263.583
2021-02-25,263.583
2021-02-26,263.583
2021-02-27,263.583
2021-02-28,263.583
2021-03-01,264.910
2021-03-02,264.910
2021-03-03,264.910
2021-03-04,264.910
2021-03-05,264.910
2021-03-06,264.910
2021-03-07,264.910
2021-03-08,264.910
2021-03-09,264.910
2021-03-10,264.910
2021-03-11,264.910
2021-03-12,264.910
2021-03-13,264.910
2021-03-14,264.910
2021-03-15,264.910
2021-03-16,264.910
2021-03-17,264.910
2021-03-18,264.910
2021-03-19,264.910
2021-03-20,264.910
2021-03-21,264.910
2021-03-22,264.910
2021-03-23,264.910
2021-03-24,264.910
2021-03-25,264.910
2021-03-26,264.910
2021-03-27,264.910
2021-03-28,264.910
2021-03-29,264.910
2021-03-30,264.910
2021-03-31,264.910
2021-04-01,266.752
2021-04-02,266.752
2021-04-03,266.752
2021-04-04,266.752
2021-04-05,266.752
2021-04-06,266.752
2021-04-07,266.752
2021-04-08,266.752
2021-04-09,266.752
2021-04-10,266.752
2021-04-11,266.752
2021-04-12,266.752
2021-04-13,266.752
2021-04-14,266.752
2021-04-15,266.752
2021-04-16,266.752
2021-04-17,266.752
2021-04-18,266.752
2021-04-19,266.752
2021-04-20,266.752
2021-04-21,266.752
2021-04-22,266.752
2021-04-23,266.752
2021-04-24,266.752
2021-04-25,266.752
2021-04-26,266.752
2021-04-27,266.752
2021-04-28,266.752
2021-04-29,266.752
2021-04-30,266.752
2021-05-01,268.452
2021-05-02,268.452
2021-05-03,268.452
2021-05-04,268.452
2021-05-05,268.452
2021-05-06,268.452
2021-05-07,268.452
2021-05-08,268.452
2021-05-09,268.452
2021-05-10,268.452
2021-05-11,268.452
2021-05-12,268.452
2021-05-13,268.452
2021-05-14,268.452
2021-05-15,268.452
2021-05-16,268.452
2021-05-17,268.452
2021-05-18,268.452
2021-05-19,268.452
2021-05-20,268.452
2021-05-21,268.452
2021-05-22,268.452
2021-05-23,268.452
2021-05-24,268.452
2021-05-25,268.452
2021-05-26,268.452
2021-05-27,268.452
2021-05-28,268.452
2021-05-29,268.452
2021-05-30,268.452
2021-05-31,268.452
2021-06-01,270.664
2021-06-02,270.664
2021-06-03,270.664
2021-06-04,270.664
2021-06-05,270.664
2021-06-06,270.664
2021-06-07,270.664
2021-06-08,270.664
2021-06-09,270.664
2021-06-10,270.664
2021-06-11,270.664
2021-06-12,270.664
2021-06-13,270.664
2021-06-14,270.664
2021-06-15,270.664
2021-06-16,270.664
2021-06-17,270.664
2021-06-18,270.664
2021-06-19,270.664
2021-06-20,270.664
2021-06-21,270.664
2021-06-22,270.664
2021-06-23,270.664
2021-06-24,270.664
2021-06-25,270.664
2021-06-26,270.664
2021-06-27,270.664
2021-06-28,270.664
2021-06-29,270.664
2021-06-30,270.664
2021-07-01,271.994
2021-07-02,271.994
2021-07-03,271.994
2021-07-04,271.994
2021-07-05,271.994
2021-07-06,271.994
2021-07-07,271.994
2021-07-08,271.994
2021-07-09,271.994
2021-07-10,271.994
2021-07-11,271.994
2021-07-12,271.994
2021-07-13,271.994
2021-07-14,271.994
2021-07-15,271.994
2021-07-16,271.994
2021-07-17,271.994
2021-07-18,271.994
2021-07-19,271.994
2021-07-20,271.994
2021-07-21,271.994
2021-07-22,271.994
2021-07-23,271.994
2021-07-24,271.994
2021-07-25,271.994
2021-07-26,271.994
2021-07-27,271.994
2021-07-28,271.994
2021-07-29,271.994
2021-07-30,271.994
2021-07-31,271.994
2021-08-01,272.789
2021-08-02,272.789
2021-08-03,272.789
2021-08-04,272.789
2021-08-05,272.789
2021-08-06,272.789
2021-08-07,272.789
2021-08-08,272.789
2021-08-09,272.789
2021-08-10,272.789
2021-08-11,272.789
2021-08-12,272.789
2021-08-13,272.789
2021-08-14,272.789
2021-08-15,272.789
2021-08-16,272.789
2021-08-17,272.789
2021-08-18,272.789
2021-08-19,272.789
2021-08-20,272.789
2021-08-21,272.789
2021-08-22,272.789
2021-08-23,272.789
2021-08-24,272.789
2021-08-25,272.789
2021-08-26,272.789
2021-08-27,272.789
2021-08-28,272.789
2021-08-29,272.789
2021-08-30,272.789
2021-08-31,272.789
2021-09-01,273.887
2021-09-02,273.887
2021-09-03,273.887
2021-09-04,273.887
2021-09-05,273.887
2021-09-06,273.887
2021-09-07,273.887
2021-09-08,273.887
2021-09-09,273.887
2021-09-10,273.887
2021-09-11,273.887
2021-09-12,273.887
2021-09-13,273.887
2021-09-14,273.887
2021-09-15,273.887
2021-09-16,273.887
2021-09-17,273.887
2021-09-18,273.887
2021-09-19,273.887
2021-09-20,273.887
2021-09-21,273.887
2021-09-22,273.887
2021-09-23,273.887
2021-09-24,273.887
2021-09-25,273.887
2021-09-26,273.887
2021-09-27,273.887
2021-09-28,273.887
2021-09-29,273.887
2021-09-30,273.887
2021-10-01,276.434
2021-10-02,276.434
2021-10-03,276.434
2021-10-04,276.434
2021-10-05,276.434
2021-10-06,276.434
2021-10-07,276.434
2021-10-08,276.434
2021-10-09,276.434
2021-10-10,276.434
2021-10-11,276.434
2021-10-12,276.434
2021-10-13,276.434
2021-10-14,276.434
2021-10-15,276.434
2021-10-16,276.434
2021-10-17,276.434
2021-10-18,276.434
2021-10-19,276.434
2021-10-20,276.434
2021-10-21,276.434
2021-10-22,276.434
2021-10-23,276.434
2021-10-24,276.434
2021-10-25,276.434
2021-10-26,276.434
2021-10-27,276.434
2021-10-28,276.434
2021-10-29,276.434
2021-10-30,276.434
2021-10-31,276.434
2021-11-01,278.799
2021-11-02,278.799
2021-11-03,278.799
2021-11-04,278.799
2021-11-05,278.799
2021-11-06,278.799
2021-11-07,278.799
2021-11-08,278.799
2021-11-09,278.799
2021-11-10,278.799
2021-11-11,278.799
2021-11-12,278.799
2021-11-13,278.799
2021-11-14,278.799
2021-11-15,278.799
2021-11-16,278.799
2021-11-17,278.799
2021-11-18,278.799
2021-11-19,278.799
2021-11-20,278.799
2021-11-21,278.799
2021-11-22,278.799
2021-11-23,278.799
2021-11-24,278.799
2021-11-25,278.799
2021-11-26,278.799
2021-11-27,278.799
2021-11-28,278.799
2021-11-29,278.799
2021-11-30,278.799
2021-12-01,280.808
2021-12-02,280.808
2021-12-03,280.808
2021-12-04,280.808
2021-12-05,280.808
2021-12-06,280.808
2021-12-07,280.808
2021-12-08,280.808
2021-12-09,280.808
2021-12-10,280.808
2021-12-11,280.808
2021-12-12,280.808
2021-12-13,280.808
2021-12-14,280.808
2021-12-15,280.808
2021-12-16,280.808
2021-12-17,280.808
2021-12-18,280.808
2021-12-19,280.808
2021-12-20,280.808
2021-12-21,280.808
2021-12-22,280.808
2021-12-23,280.808
2021-12-24,280.808
2021-12-25,280.808
2021-12-26,280.808
2021-12-27,280.808
2021-12-28,280.808
2021-12-29,280.808
2021-12-30,280.808
2021-12-31,280.808
2022-01-01,282.390
2022-01-02,282.390
2022-01-03,282.390
2022-01-04,282.390
2022-01-05,282.390
2022-01-06,282.390
2022-01-07,282.390
2022-01-08,282.390
2022-01-09,282.390
2022-01-10,282.390
2022-01-11,282.390
2022-01-12,282.390
2022-01-13,282.390
2022-01-14,282.390
2022-01-15,282.390
2022-01-16,282.390
2022-01-17,282.390
2022-01-18,282.390
2022-01-19,282.390
2022-01-20,282.390
2022-01-21,282.390
2022-01-22,282.390
2022-01-23,282.390
2022-01-24,282.390
2022-01-25,282.390
2022-01-26,282.390
2022-01-27,282.390
2022-01-28,282.390
2022-01-29,282.390
2022-01-30,282.390
2022-01-31,282.390
2022-02-01,284.535
2022-02-02,284.535
2022-02-03,284.535
2022-02-04,284.535
