date,gdp
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,20861.83925495967
2020-01-02,20861.83925495967
2020-01-03,20861.83925495967
2020-01-04,20861.83925495967
2020-01-05,20861.83925495967
2020-01-06,20861.83925495967
2020-01-07,20861.83925495967
2020-01-08,20861.83925495967
2020-01-09,20861.83925495967
2020-01-10,20861.83925495967
2020-01-11,20861.83925495967
2020-01-12,20861.83925495967
2020-01-13,20861.83925495967
2020-01-14,20861.83925495967
2020-01-15,20861.83925495967
2020-01-16,20861.83925495967
2020-01-17,20861.83925495967
2020-01-18,20861.83925495967
2020-01-19,20861.83925495967
2020-01-20,20861.83925495967
2020-01-21,20861.83925495967
2020-01-22,20861.83925495967
2020-01-23,20861.83925495967
2020-01-24,20861.83925495967
2020-01-25,20861.83925495967
2020-01-26,20861.83925495967
2020-01-27,20861.83925495967
2020-01-28,20861.83925495967
2020-01-29,20861.83925495967
2020-01-30,20861.83925495967
2020-01-31,20861.83925495967
2020-02-01,20861.83925495967
2020-02-02,20861.83925495967
2020-02-03,20861.83925495967
2020-02-04,20861.83925495967
2020-02-05,20861.83925495967
2020-02-06,20861.83925495967
2020-02-07,20861.83925495967
2020-02-08,20861.83925495967
2020-02-09,20861.83925495967
2020-02-10,20861.83925495967
2020-02-11,20861.83925495967
2020-02-12,20861.83925495967
2020-02-13,20861.83925495967
2020-02-14,20861.83925495967
2020-02-15,20861.83925495967
2020-02-16,20861.83925495967
2020-02-17,20861.83925495967
2020-02-18,20861.83925495967
2020-02-19,20861.83925495967
2020-02-20,20861.83925495967
2020-02-21,20861.83925495967
2020-02-22,20861.83925495967
2020-02-23,20861.83925495967
2020-02-24,20861.83925495967
2020-02-25,20861.83925495967
2020-02-26,20861.83925495967
2020-02-27,20861.83925495967
2020-02-28,20861.83925495967
2020-02-29,20861.83925495967
2020-03-01,20861.83925495967
2020-03-02,20861.83925495967
2020-03-03,20861.83925495967
2020-03-04,20861.83925495967
2020-03-05,20861.83925495967
2020-03-06,20861.83925495967
2020-03-07,20861.83925495967
2020-03-08,20861.83925495967
2020-03-09,20861.83925495967
2020-03-10,20861.83925495967
2020-03-11,20861.83925495967
2020-03-12,20861.83925495967
2020-03-13,20861.83925495967
2020-03-14,20861.83925495967
2020-03-15,20861.83925495967
2020-03-16,20861.83925495967
2020-03-17,20861.83925495967
2020-03-18,20861.83925495967
2020-03-19,20861.83925495967
2020-03-20,20861.83925495967
2020-03-21,20861.83925495967
2020-03-22,20861.83925495967
2020-03-23,20861.83925495967
2020-03-24,20861.83925495967
2020-03-25,20861.83925495967
2020-03-26,20861.83925495967
2020-03-27,20861.83925495967
2020-03-28,20861.83925495967
2020-03-29,20861.83925495967
2020-03-30,20861.83925495967
2020-03-31,20861.83925495967
2020-04-01,20965.14022286726
2020-04-02,20965.14022286726
2020-04-03,20965.14022286726
2020-04-04,20965.14022286726
2020-04-05,20965.14022286726
2020-04-06,20965.14022286726
2020-04-07,20965.14022286726
2020-04-08,20965.14022286726
2020-04-09,20965.14022286726
2020-04-10,20965.14022286726
2020-04-11,20965.14022286726
2020-04-12,20965.14022286726
2020-04-13,20965.14022286726
2020-04-14,20965.14022286726
2020-04-15,20965.14022286726
2020-04-16,20965.14022286726
2020-04-17,20965.14022286726
2020-04-18,20965.14022286726
2020-04-19,20965.14022286726
2020-04-20,20965.14022286726
2020-04-21,20965.14022286726
2020-04-22,20965.14022286726
2020-04-23,20965.14022286726
2020-04-24,20965.14022286726
2020-04-25,20965.14022286726
2020-04-26,20965.14022286726
2020-04-27,20965.14022286726
2020-04-28,20965.14022286726
2020-04-29,20965.14022286726
2020-04-30,20965.14022286726
2020-05-01,20965.14022286726
2020-05-02,20965.14022286726
2020-05-03,20965.14022286726
2020-05-04,20965.14022286726
2020-05-05,20965.14022286726
2020-05-06,20965.14022286726
2020-05-07,20965.14022286726
2020-05-08,20965.14022286726
2020-05-09,20965.14022286726
2020-05-10,20965.14022286726
2020-05-11,20965.14022286726
2020-05-12,20965.14022286726
2020-05-13,20965.14022286726
2020-05-14,20965.14022286726
2020-05-15,20965.14022286726
2020-05-16,20965.14022286726
2020-05-17,20965.14022286726
2020-05-18,20965.14022286726
