Date,HYG
2019-08-02,66.78777313232422
2019-08-05,66.09199523925781
2019-08-06,66.51720428466797
2019-08-07,66.50946807861328
2019-08-08,66.77235412597656
2019-08-09,66.6795654296875
2019-08-12,66.44762420654297
2019-08-13,66.74142456054688
2019-08-14,66.1460952758789
2019-08-15,66.33940124511719
2019-08-16,66.56358337402344
2019-08-19,66.75686645507812
2019-08-20,66.81097412109375
2019-08-21,67.09703063964844
2019-08-22,67.22071075439453
2019-08-23,66.91151428222656
2019-08-26,67.24392700195312
2019-08-27,67.21299743652344
2019-08-28,67.37535858154297
2019-08-29,67.44493103027344
2019-08-30,67.38304901123047
2019-09-03,67.18975830078125
2019-09-04,67.32949829101562
2019-09-05,67.59346771240234
2019-09-06,67.65557861328125
2019-09-09,67.72547912597656
2019-09-10,67.76432037353516
2019-09-11,67.75653839111328
2019-09-12,67.79534149169922
2019-09-13,67.67109680175781
2019-09-16,67.91181182861328
2019-09-17,67.95061492919922
2019-09-18,67.91181182861328
2019-09-19,67.83414459228516
2019-09-20,67.9195556640625
2019-09-23,67.88848114013672
2019-09-24,67.79534149169922
2019-09-25,67.72547912597656
2019-09-26,67.67887878417969
2019-09-27,67.60123443603516
2019-09-30,67.67887878417969
2019-10-01,67.5229721069336
2019-10-02,67.12539672851562
2019-10-03,67.16439056396484
2019-10-04,67.3748779296875
2019-10-07,67.32032012939453
2019-10-08,67.07083129882812
2019-10-09,67.27351379394531
2019-10-10,67.35926818847656
2019-10-11,67.63990783691406
2019-10-14,67.68666076660156
2019-10-15,67.83477783203125
2019-10-16,67.78024291992188
2019-10-17,67.87376403808594
2019-10-18,67.88934326171875
2019-10-21,67.91275024414062
2019-10-22,67.92831420898438
2019-10-23,67.99071502685547
2019-10-24,68.06866455078125
2019-10-25,68.12321472167969
2019-10-28,68.11542510986328
2019-10-29,67.99071502685547
2019-10-30,67.90493774414062
2019-10-31,67.67107391357422
2019-11-01,67.96149444580078
2019-11-04,68.10240936279297
2019-11-05,68.03196716308594
2019-11-06,67.95365905761719
2019-11-07,67.92236328125
2019-11-08,67.98495483398438
2019-11-11,67.94585418701172
2019-11-12,67.96149444580078
2019-11-13,67.89105224609375
2019-11-14,67.85189056396484
2019-11-15,68.055419921875
2019-11-18,67.96932983398438
2019-11-19,67.72667694091797
2019-11-20,67.58575439453125
2019-11-21,67.60142517089844
2019-11-22,67.8597640991211
2019-11-25,68.03978729248047
2019-11-26,68.11804962158203
2019-11-27,68.20416259765625
2019-11-29,68.055419921875
2019-12-02,68.00906372070312
2019-12-03,67.91475677490234
2019-12-04,68.1190414428711
2019-12-05,68.22125244140625
2019-12-06,68.3155517578125
2019-12-09,68.3155517578125
2019-12-10,68.4805908203125
2019-12-11,68.62203979492188
2019-12-12,68.77920532226562
2019-12-13,68.84993743896484
2019-12-16,68.98353576660156
2019-12-17,69.19571685791016
2019-12-18,69.32144165039062
2019-12-19,69.28517150878906
2019-12-20,69.18266296386719
2019-12-23,69.21417999267578
2019-12-24,69.26943969726562
2019-12-26,69.37195587158203
2019-12-27,69.34038543701172
2019-12-30,69.29306030273438
2019-12-31,69.35616302490234
2020-01-02,69.64796447753906
2020-01-03,69.57698822021484
2020-01-06,69.50598907470703
2020-01-07,69.44292449951172
2020-01-08,69.50598907470703
2020-01-09,69.6874008178711
2020-01-10,69.71109008789062
2020-01-13,69.71109008789062
2020-01-14,69.70318603515625
2020-01-15,69.71895599365234
2020-01-16,69.74262237548828
2020-01-17,69.6874008178711
2020-01-21,69.53756713867188
2020-01-22,69.66374969482422
2020-01-23,69.45081329345703
2020-01-24,69.15899658203125
2020-01-27,68.69368743896484
2020-01-28,69.28517150878906
2020-01-29,69.24573516845703
2020-01-30,69.31671905517578
2020-01-31,69.03280639648438
2020-02-03,69.02173614501953
2020-02-04,69.43354797363281
2020-02-05,69.71867370605469
2020-02-06,69.77410125732422
2020-02-07,69.67115020751953
2020-02-10,69.76616668701172
2020-02-11,69.8136978149414
2020-02-12,69.99585723876953
2020-02-13,70.01962280273438
2020-02-14,70.01171875
2020-02-18,69.86914825439453
2020-02-19,69.90082550048828
2020-02-20,70.01962280273438
2020-02-21,69.95626068115234
2020-02-24,69.20387268066406
2020-02-25,68.72077941894531
2020-02-26,68.79206085205078
2020-02-27,67.86541748046875
2020-02-28,68.14262390136719
2020-03-02,68.6596908569336
2020-03-03,68.3653335571289
2020-03-04,69.30406188964844
2020-03-05,68.4289779663086
2020-03-06,67.6573715209961
2020-03-09,64.7458267211914
2020-03-10,65.74018096923828
2020-03-11,64.30831146240234
2020-03-12,61.73883056640625
2020-03-13,63.67985916137695
2020-03-16,60.17963409423828
2020-03-17,60.74444580078125
2020-03-18,58.06361770629883
2020-03-19,56.75897979736328
2020-03-20,55.48619842529297
2020-03-23,54.595237731933594
2020-03-24,56.84650802612305
2020-03-25,58.445465087890625
2020-03-26,61.118343353271484
2020-03-27,61.27743148803711
2020-03-30,61.80247497558594
2020-03-31,61.30925369262695
2020-04-01,59.62630844116211
2020-04-02,60.09001922607422
2020-04-03,58.80284118652344
2020-04-06,60.233924865722656
2020-04-07,60.233924865722656
2020-04-08,61.800960540771484
2020-04-09,65.84638214111328
2020-04-13,64.90298461914062
2020-04-14,65.17483520507812
2020-04-15,64.56721496582031
2020-04-16,64.50322723388672
2020-04-17,64.83103942871094
2020-04-20,63.85563278198242
2020-04-21,62.68840789794922
2020-04-22,63.240028381347656
2020-04-23,63.20804214477539
2020-04-24,62.61643981933594
2020-04-27,62.87229537963867
2020-04-28,63.064151763916016
