Date,XLK
2019-08-01,75.78250122070312
2019-09-01,76.7353744506836
2019-10-01,79.97582244873047
2019-11-01,84.26757049560547
2019-12-01,87.62259674072266
2020-01-01,91.41826629638672
2020-02-01,84.74388122558594
2020-03-01,77.07215118408203
2020-04-01,88.11687469482422
2020-05-01,94.44052124023438
2020-06-01,100.72563934326172
2020-07-01,106.74503326416016
2020-08-01,119.42723846435547
2020-09-01,112.80580139160156
2020-10-01,107.3980484008789
2020-11-01,119.62393951416016
2020-12-01,125.9596939086914
2021-01-01,125.19463348388672
2021-02-01,126.90364837646484
2021-03-01,128.9622039794922
2021-04-01,135.93896484375
2021-05-01,134.67396545410156
2021-06-01,143.6846466064453
2021-07-01,149.5437469482422
2021-08-01,154.8665008544922
2021-09-01,145.5663299560547
2021-10-01,157.74636840820312
2021-11-01,164.7679443359375
2021-12-01,169.7973175048828
2022-01-01,158.4752960205078
2022-02-01,150.74575805664062
2022-03-01,155.50086975097656
2022-04-01,138.62435913085938
2022-05-01,137.67352294921875
2022-06-01,124.6070556640625
2022-07-01,141.7363739013672
2022-08-01,132.93067932128906
2022-09-01,116.73448944091797
2022-10-01,125.97821807861328
2022-11-01,133.94854736328125
2022-12-01,122.59896850585938
2023-01-01,134.33316040039062
2023-02-01,134.88644409179688
2023-03-01,149.20306396484375
2023-04-01,149.3542022705078
2023-05-01,162.67262268066406
2023-06-01,172.15887451171875
2023-07-01,176.97486877441406
2023-08-01,174.30560302734375
2023-09-01,162.66603088378906
2023-10-01,163.09304809570312
2023-11-01,184.1248016357422
2023-12-01,191.40386962890625
2024-01-01,197.00848388671875
2024-02-01,206.27688598632812
2024-03-01,207.56251525878906
2024-04-01,195.92628479003906
2024-05-01,209.79196166992188
2024-06-01,225.8338165283203
2024-07-01,234.44000244140625
