Date,INTC
2019-08-01,41.57421875
2019-09-01,45.49216842651367
2019-10-01,49.90631103515625
2019-11-01,51.24820327758789
2019-12-01,53.12809371948242
2020-01-01,56.7498664855957
2020-02-01,49.2844123840332
2020-03-01,48.278236389160156
2020-04-01,53.50569534301758
2020-05-01,56.13727569580078
2020-06-01,53.673377990722656
2020-07-01,42.8184928894043
2020-08-01,45.7071418762207
2020-09-01,46.7672119140625
2020-10-01,39.99327850341797
2020-11-01,43.66927719116211
2020-12-01,45.32424545288086
2021-01-01,50.50078201293945
2021-02-01,55.29521560668945
2021-03-01,58.578060150146484
2021-04-01,52.65618896484375
2021-05-01,52.280921936035156
2021-06-01,51.70042037963867
2021-07-01,49.471805572509766
2021-08-01,49.784908294677734
2021-09-01,49.38544464111328
2021-10-01,45.41830062866211
2021-11-01,45.60367965698242
2021-12-01,48.0675163269043
2022-01-01,45.56614303588867
2022-02-01,44.52078628540039
2022-03-01,46.60919189453125
2022-04-01,40.9946403503418
2022-05-01,41.77522659301758
2022-06-01,35.46070861816406
2022-07-01,34.418025970458984
2022-08-01,30.256772994995117
2022-09-01,24.673824310302734
2022-10-01,27.220680236816406
2022-11-01,28.79092025756836
2022-12-01,25.647533416748047
2023-01-01,27.423357009887695
2023-02-01,24.191944122314453
2023-03-01,32.08909225463867
2023-04-01,30.507719039916992
2023-05-01,30.880964279174805
2023-06-01,32.97990417480469
2023-07-01,35.27784729003906
2023-08-01,34.65651321411133
2023-09-01,35.187007904052734
2023-10-01,36.1273078918457
2023-11-01,44.24358367919922
2023-12-01,49.900455474853516
2024-01-01,42.78033447265625
2024-02-01,42.75053787231445
2024-03-01,43.99131774902344
2024-04-01,30.346738815307617
2024-05-01,30.725202560424805
2024-06-01,30.969999313354492
2024-07-01,34.0099983215332
