Date,XLK
2019-08-02,75.32512664794922
2019-08-05,72.18062591552734
2019-08-06,73.38125610351562
2019-08-07,73.83863067626953
2019-08-08,75.64910125732422
2019-08-09,74.79150390625
2019-08-12,73.81004333496094
2019-08-13,75.65864562988281
2019-08-14,73.3335952758789
2019-08-15,73.20020294189453
2019-08-16,74.5914077758789
2019-08-19,75.725341796875
2019-08-20,75.34417724609375
2019-08-21,76.23036193847656
2019-08-22,76.04931640625
2019-08-23,73.53372192382812
2019-08-26,74.55327606201172
2019-08-27,74.4389419555664
2019-08-28,74.50564575195312
2019-08-29,75.80155944824219
2019-08-30,75.78247833251953
2019-09-03,74.85821533203125
2019-09-04,76.13507843017578
2019-09-05,77.72637176513672
2019-09-06,77.65967559814453
2019-09-09,77.07842254638672
2019-09-10,76.687744140625
2019-09-11,77.48815155029297
2019-09-12,77.90744018554688
2019-09-13,77.33570098876953
2019-09-16,77.1451187133789
2019-09-17,77.45957946777344
2019-09-18,77.45004272460938
2019-09-19,77.62155151367188
2019-09-20,76.71636962890625
2019-09-23,76.9553451538086
2019-09-24,76.20977020263672
2019-09-25,77.11782836914062
2019-09-26,77.20384216308594
2019-09-27,76.17153930664062
2019-09-30,76.97445678710938
2019-10-01,76.25756072998047
2019-10-02,74.82379150390625
2019-10-03,75.74140167236328
2019-10-04,76.99356842041016
2019-10-07,76.6685791015625
2019-10-08,75.26348114013672
2019-10-09,76.38182067871094
2019-10-10,76.90753936767578
2019-10-11,77.96852111816406
2019-10-14,77.92074584960938
2019-10-15,78.78101348876953
2019-10-16,78.23616790771484
2019-10-17,78.08324432373047
2019-10-18,77.3376693725586
2019-10-21,78.16925811767578
2019-10-22,77.11782836914062
2019-10-23,77.18473815917969
2019-10-24,78.31267547607422
2019-10-25,79.25892639160156
2019-10-28,80.26258087158203
2019-10-29,79.53612518310547
2019-10-30,80.02360534667969
2019-10-31,79.97582244873047
2019-11-01,80.93167114257812
2019-11-04,81.35223388671875
2019-11-05,81.25666046142578
2019-11-06,81.21841430664062
2019-11-07,81.85884857177734
2019-11-08,82.3176498413086
2019-11-11,82.35586547851562
2019-11-12,82.63306427001953
2019-11-13,82.81468963623047
2019-11-14,82.7191162109375
2019-11-15,83.38816833496094
2019-11-18,83.63671875
2019-11-19,83.79920196533203
2019-11-20,83.2926254272461
2019-11-21,82.87203216552734
2019-11-22,82.76687622070312
2019-11-25,83.97124481201172
2019-11-26,84.04773712158203
2019-11-27,84.5160903930664
2019-11-29,84.26759338378906
2019-12-02,83.06320190429688
2019-12-03,82.32718658447266
2019-12-04,82.66172790527344
2019-12-05,82.96762084960938
2019-12-06,83.8852310180664
2019-12-09,83.44554901123047
2019-12-10,83.51246643066406
2019-12-11,84.076416015625
2019-12-12,84.97491455078125
2019-12-13,85.53884887695312
2019-12-16,86.30353546142578
2019-12-17,86.1028060913086
2019-12-18,86.09324645996094
