Date,SPY
2014-06-23,164.4328155517578
2014-06-30,166.4313201904297
2014-07-07,165.09617614746094
2014-07-14,166.0198516845703
2014-07-21,166.02825927734375
2014-07-28,161.6449737548828
2014-08-04,162.266357421875
2014-08-11,164.34881591796875
2014-08-18,167.2626495361328
2014-08-25,168.5390167236328
2014-09-01,168.87490844726562
2014-09-08,167.2122344970703
2014-09-15,168.53054809570312
2014-09-22,166.95619201660156
2014-09-29,165.7919921875
2014-10-06,160.7469940185547
2014-10-13,159.0006561279297
2014-10-20,165.71604919433594
2014-10-27,170.12832641601562
2014-11-03,171.5456085205078
2014-11-10,172.3048553466797
2014-11-17,174.36334228515625
2014-11-24,174.8020477294922
2014-12-01,175.47698974609375
2014-12-08,169.4786834716797
2014-12-15,174.22837829589844
2014-12-22,176.8187255859375
2014-12-29,174.26527404785156
2015-01-05,173.2643280029297
2015-01-12,171.04180908203125
2015-01-19,173.8751220703125
2015-01-26,169.19253540039062
2015-02-02,174.36715698242188
2015-02-09,177.95541381835938
2015-02-16,179.19395446777344
2015-02-23,178.70193481445312
2015-03-02,176.0213165283203
2015-03-09,174.6046600341797
2015-03-16,178.48983764648438
2015-03-23,175.3073272705078
2015-03-30,175.90379333496094
2015-04-06,178.97132873535156
2015-04-13,177.19039916992188
2015-04-20,180.34320068359375
2015-04-27,179.5507354736328
2015-05-04,180.31761169433594
2015-05-11,181.01629638671875
2015-05-18,181.48495483398438
2015-05-25,179.9086456298828
2015-06-01,178.74122619628906
2015-06-08,178.94570922851562
2015-06-15,179.62745666503906
2015-06-22,179.6534881591797
2015-06-29,177.50437927246094
2015-07-06,177.64988708496094
2015-07-13,181.93106079101562
2015-07-20,178.09518432617188
2015-07-27,180.2357177734375
2015-08-03,178.05230712890625
2015-08-10,179.31097412109375
2015-08-17,169.38735961914062
2015-08-24,170.62890625
2015-08-31,164.9006805419922
2015-09-07,168.4540557861328
2015-09-14,167.3494873046875
2015-09-21,165.98179626464844
2015-09-28,167.83224487304688
2015-10-05,173.2803192138672
2015-10-12,174.95004272460938
2015-10-19,178.5993194580078
2015-10-26,178.9607696533203
2015-11-02,180.7768096923828
2015-11-09,174.32174682617188
