Date,NVDA
2019-08-02,4.006621837615967
2019-08-05,3.7481133937835693
2019-08-06,3.7868895530700684
2019-08-07,3.8251683712005615
2019-08-08,3.9337921142578125
2019-08-09,3.8323771953582764
2019-08-12,3.7645184993743896
2019-08-13,3.878859281539917
2019-08-14,3.730217218399048
2019-08-15,3.6979029178619385
2019-08-16,3.9661052227020264
2019-08-19,4.2449951171875
2019-08-20,4.172662258148193
2019-08-21,4.256180763244629
2019-08-22,4.262394905090332
2019-08-23,4.037692070007324
2019-08-26,4.112509727478027
2019-08-27,4.021783828735352
2019-08-28,4.0113348960876465
2019-08-29,4.15514612197876
2019-08-30,4.1678361892700195
2019-09-03,4.084732532501221
2019-09-04,4.198936462402344
2019-09-05,4.472132205963135
2019-09-06,4.445012092590332
2019-09-09,4.491041660308838
2019-09-10,4.557723045349121
2019-09-11,4.586336612701416
2019-09-12,4.58484411239624
2019-09-13,4.526872158050537
2019-09-16,4.483826160430908
2019-09-17,4.505223274230957
2019-09-18,4.478102684020996
2019-09-19,4.402464866638184
2019-09-20,4.296719551086426
2019-09-23,4.350214958190918
2019-09-24,4.2927398681640625
2019-09-25,4.4345622062683105
2019-09-26,4.412417888641357
2019-09-27,4.273581027984619
2019-09-30,4.331056594848633
2019-10-01,4.329314708709717
2019-10-02,4.305429458618164
2019-10-03,4.511195182800293
2019-10-04,4.527616500854492
2019-10-07,4.586336612701416
2019-10-08,4.409679889678955
2019-10-09,4.496265888214111
2019-10-10,4.553991317749023
2019-10-11,4.627638816833496
2019-10-14,4.641075611114502
2019-10-15,4.885904312133789
2019-10-16,4.832160949707031
2019-10-17,4.834151744842529
2019-10-18,4.7396039962768555
2019-10-21,4.876947402954102
2019-10-22,4.866995811462402
2019-10-23,4.854057312011719
2019-10-24,4.898097038269043
2019-10-25,5.089183330535889
2019-10-28,5.145165920257568
2019-10-29,5.048877239227295
2019-10-30,5.050867557525635
2019-10-31,5.0016021728515625
2019-11-01,5.040666103363037
2019-11-04,5.237473964691162
2019-11-05,5.215330123901367
2019-11-06,5.1660661697387695
2019-11-07,5.183732509613037
2019-11-08,5.169798851013184
2019-11-11,5.179751396179199
2019-11-12,5.215330123901367
2019-11-13,5.189455032348633
2019-11-14,5.219810485839844
2019-11-15,5.080474853515625
2019-11-18,5.281764507293701
2019-11-19,5.175024032592773
2019-11-20,5.254395008087158
2019-11-21,5.229512691497803
2019-11-22,5.247178554534912
2019-11-25,5.503952503204346
2019-11-26,5.399202823638916
2019-11-27,5.434060573577881
2019-11-29,5.396712303161621
2019-12-02,5.210214614868164
2019-12-03,5.17062520980835
2019-12-04,5.21444845199585
2019-12-05,5.197516918182373
2019-12-06,5.282921314239502
2019-12-09,5.282921314239502
2019-12-10,5.3279900550842285
2019-12-11,5.411651134490967
2019-12-12,5.579225540161133
2019-12-13,5.577233791351318
2019-12-16,5.606117248535156
2019-12-17,5.684301853179932
2019-12-18,5.714680194854736
2019-12-19,5.862830638885498
2019-12-20,5.960187911987305
2019-12-23,5.946493148803711
2019-12-24,5.9415130615234375
2019-12-26,5.955705165863037
2019-12-27,5.897937774658203
2019-12-30,5.784647464752197
2019-12-31,5.858847141265869
2020-01-02,5.9736328125
2020-01-03,5.878019332885742
2020-01-06,5.902669429779053
2020-01-07,5.974131107330322
2020-01-08,5.985336780548096
2020-01-09,6.051069736480713
2020-01-10,6.083439350128174
2020-01-13,6.274168968200684
2020-01-14,6.157142639160156
2020-01-15,6.114564418792725
2020-01-16,6.198226451873779
2020-01-17,6.206942081451416
2020-01-21,6.1735758781433105
2020-01-22,6.227607727050781
2020-01-23,6.296082019805908
2020-01-24,6.236821174621582
2020-01-27,5.980854034423828
2020-01-28,6.174324035644531
2020-01-29,6.1138176918029785
2020-01-30,6.120539665222168
2020-01-31,5.886982440948486
2020-02-03,5.984091758728027
2020-02-04,6.153407573699951
2020-02-05,6.243792533874512
2020-02-06,6.330691814422607
2020-02-07,6.264459609985352
2020-02-10,6.547816276550293
2020-02-11,6.670319557189941
2020-02-12,6.786102771759033
2020-02-13,6.742279052734375
2020-02-14,7.215618133544922
2020-02-18,7.384438514709473
2020-02-19,7.835865497589111
2020-02-20,7.686468601226807
2020-02-21,7.322188377380371
2020-02-24,6.804529190063477
2020-02-25,6.524909019470215
2020-02-26,6.664344310760498
2020-02-27,6.293370246887207
2020-02-28,6.728623867034912
2020-03-02,6.887078285217285
2020-03-03,6.624481678009033
2020-03-04,7.088387966156006
2020-03-05,6.8088483810424805
2020-03-06,6.6282196044921875
2020-03-09,6.114982604980469
2020-03-10,6.50464391708374
2020-03-11,6.140645503997803
2020-03-12,5.389227390289307
2020-03-13,6.000377655029297
2020-03-16,4.893181800842285
2020-03-17,5.413145065307617
2020-03-18,5.053132057189941
2020-03-19,5.306013107299805
2020-03-20,5.126131534576416
2020-03-23,5.299037456512451
2020-03-24,6.208162784576416
2020-03-25,6.1194682121276855
2020-03-26,6.408971786499023
2020-03-27,6.296607971191406
2020-03-30,6.617007732391357
2020-03-31,6.5674285888671875
2020-04-01,6.055935382843018
2020-04-02,6.364874839782715
2020-04-03,6.076864242553711
2020-04-06,6.68701696395874
2020-04-07,6.453568935394287
2020-04-08,6.650890350341797
2020-04-09,6.551233768463135
2020-04-13,6.723142147064209
2020-04-14,7.074435234069824
2020-04-15,6.996951103210449
2020-04-16,7.342263698577881
2020-04-17,7.282968521118164
2020-04-20,7.151669502258301
2020-04-21,6.714671611785889
2020-04-22,7.129246234893799
2020-04-23,7.075929641723633
2020-04-24,7.2149529457092285
