Date,^HSI
2023-07-24 13:30:00+08:00,18601.2890625
2023-07-24 14:30:00+08:00,18642.48046875
2023-07-24 15:30:00+08:00,18668.150390625
2023-07-25 09:30:00+08:00,19242.7109375
2023-07-25 10:30:00+08:00,19252.640625
2023-07-25 11:30:00+08:00,19258.66015625
2023-07-25 12:30:00+08:00,19256.990234375
2023-07-25 13:30:00+08:00,19394.740234375
2023-07-25 14:30:00+08:00,19436.66015625
2023-07-25 15:30:00+08:00,19434.400390625
2023-07-26 09:30:00+08:00,19356.80078125
2023-07-26 10:30:00+08:00,19246.830078125
2023-07-26 11:30:00+08:00,19280.2109375
2023-07-26 12:30:00+08:00,19282.599609375
2023-07-26 13:30:00+08:00,19360.3203125
2023-07-26 14:30:00+08:00,19368.0703125
2023-07-26 15:30:00+08:00,19365.140625
2023-07-27 09:30:00+08:00,19649.9609375
2023-07-27 10:30:00+08:00,19640.9609375
2023-07-27 11:30:00+08:00,19629.029296875
2023-07-27 12:30:00+08:00,19630.2109375
2023-07-27 13:30:00+08:00,19563.859375
2023-07-27 14:30:00+08:00,19651.890625
2023-07-27 15:30:00+08:00,19639.109375
2023-07-28 09:30:00+08:00,19546.150390625
2023-07-28 10:30:00+08:00,19803.0
2023-07-28 11:30:00+08:00,19814.759765625
2023-07-28 12:30:00+08:00,19840.25
2023-07-28 13:30:00+08:00,19923.259765625
2023-07-28 14:30:00+08:00,19911.25
2023-07-28 15:30:00+08:00,19916.560546875
2023-07-31 09:30:00+08:00,20253.7109375
2023-07-31 10:30:00+08:00,20203.5
2023-07-31 11:30:00+08:00,20208.779296875
2023-07-31 12:30:00+08:00,20156.310546875
2023-07-31 13:30:00+08:00,20205.689453125
2023-07-31 14:30:00+08:00,20106.23046875
2023-07-31 15:30:00+08:00,20078.939453125
2023-08-01 09:30:00+08:00,20228.919921875
2023-08-01 10:30:00+08:00,20109.55078125
2023-08-01 11:30:00+08:00,20077.720703125
2023-08-01 12:30:00+08:00,20001.810546875
2023-08-01 13:30:00+08:00,19950.689453125
2023-08-01 14:30:00+08:00,19957.2109375
2023-08-01 15:30:00+08:00,20011.119140625
2023-08-02 09:30:00+08:00,19796.080078125
2023-08-02 10:30:00+08:00,19617.05078125
2023-08-02 11:30:00+08:00,19613.509765625
2023-08-02 12:30:00+08:00,19586.5390625
2023-08-02 13:30:00+08:00,19506.9609375
2023-08-02 14:30:00+08:00,19563.4609375
2023-08-02 15:30:00+08:00,19517.380859375
2023-08-03 09:30:00+08:00,19492.0390625
2023-08-03 10:30:00+08:00,19480.330078125
2023-08-03 11:30:00+08:00,19506.109375
2023-08-03 12:30:00+08:00,19592.810546875
2023-08-03 13:30:00+08:00,19613.98046875
2023-08-03 14:30:00+08:00,19465.6796875
2023-08-03 15:30:00+08:00,19420.869140625
2023-08-04 09:30:00+08:00,19632.05078125
2023-08-04 10:30:00+08:00,19611.640625
2023-08-04 11:30:00+08:00,19612.58984375
2023-08-04 12:30:00+08:00,19640.669921875
2023-08-04 13:30:00+08:00,19547.0
2023-08-04 14:30:00+08:00,19541.669921875
2023-08-04 15:30:00+08:00,19539.4609375
2023-08-07 09:30:00+08:00,19525.1796875
2023-08-07 10:30:00+08:00,19498.630859375
2023-08-07 11:30:00+08:00,19535.0703125
2023-08-07 12:30:00+08:00,19505.01953125
2023-08-07 13:30:00+08:00,19484.150390625
2023-08-07 14:30:00+08:00,19536.69921875
2023-08-07 15:30:00+08:00,19537.919921875
2023-08-08 09:30:00+08:00,19215.900390625
2023-08-08 10:30:00+08:00,19307.94921875
2023-08-08 11:30:00+08:00,19270.33984375
2023-08-08 12:30:00+08:00,19258.240234375
2023-08-08 13:30:00+08:00,19178.75
2023-08-08 14:30:00+08:00,19178.380859375
2023-08-08 15:30:00+08:00,19184.169921875
2023-08-09 09:30:00+08:00,19092.099609375
2023-08-09 10:30:00+08:00,19170.310546875
2023-08-09 11:30:00+08:00,19173.220703125
2023-08-09 12:30:00+08:00,19148.130859375
2023-08-09 13:30:00+08:00,19138.900390625
2023-08-09 14:30:00+08:00,19193.1796875
2023-08-09 15:30:00+08:00,19246.029296875
2023-08-10 09:30:00+08:00,19176.529296875
2023-08-10 10:30:00+08:00,19058.66015625
2023-08-10 11:30:00+08:00,19062.44921875
2023-08-10 12:30:00+08:00,19085.740234375
2023-08-10 13:30:00+08:00,19207.169921875
2023-08-10 14:30:00+08:00,19308.029296875
2023-08-10 15:30:00+08:00,19248.259765625
2023-08-11 09:30:00+08:00,19124.3203125
2023-08-11 10:30:00+08:00,19147.669921875
2023-08-11 11:30:00+08:00,19128.5390625
2023-08-11 12:30:00+08:00,19155.390625
2023-08-11 13:30:00+08:00,19093.19921875
2023-08-11 14:30:00+08:00,19135.859375
2023-08-11 15:30:00+08:00,19075.189453125
2023-08-14 09:30:00+08:00,18613.4296875
2023-08-14 10:30:00+08:00,18643.869140625
2023-08-14 11:30:00+08:00,18616.109375
2023-08-14 12:30:00+08:00,18635.439453125
2023-08-14 13:30:00+08:00,18686.150390625
2023-08-14 14:30:00+08:00,18724.890625
2023-08-14 15:30:00+08:00,18773.55078125
2023-08-15 09:30:00+08:00,18652.310546875
2023-08-15 10:30:00+08:00,18571.33984375
2023-08-15 11:30:00+08:00,18622.55078125
2023-08-15 12:30:00+08:00,18561.189453125
2023-08-15 13:30:00+08:00,18646.609375
2023-08-15 14:30:00+08:00,18609.220703125
2023-08-15 15:30:00+08:00,18581.109375
2023-08-16 09:30:00+08:00,18349.859375
2023-08-16 10:30:00+08:00,18357.390625
2023-08-16 11:30:00+08:00,18323.220703125
2023-08-16 12:30:00+08:00,18314.19921875
2023-08-16 13:30:00+08:00,18330.330078125
2023-08-16 14:30:00+08:00,18306.349609375
2023-08-16 15:30:00+08:00,18329.30078125
2023-08-17 09:30:00+08:00,18111.060546875
2023-08-17 10:30:00+08:00,18266.01953125
2023-08-17 11:30:00+08:00,18308.060546875
2023-08-17 12:30:00+08:00,18193.689453125
2023-08-17 13:30:00+08:00,18360.529296875
2023-08-17 14:30:00+08:00,18334.759765625
2023-08-17 15:30:00+08:00,18326.630859375
2023-08-18 09:30:00+08:00,18260.41015625
2023-08-18 10:30:00+08:00,18151.720703125
2023-08-18 11:30:00+08:00,18120.900390625
2023-08-18 12:30:00+08:00,18027.619140625
2023-08-18 13:30:00+08:00,18025.9609375
2023-08-18 14:30:00+08:00,18002.880859375
2023-08-18 15:30:00+08:00,17950.849609375
2023-08-21 09:30:00+08:00,17844.91015625
2023-08-21 10:30:00+08:00,17760.400390625
2023-08-21 11:30:00+08:00,17703.080078125
2023-08-21 12:30:00+08:00,17684.25
2023-08-21 13:30:00+08:00,17636.919921875
2023-08-21 14:30:00+08:00,17628.349609375
2023-08-21 15:30:00+08:00,17623.2890625
2023-08-22 09:30:00+08:00,17759.279296875
2023-08-22 10:30:00+08:00,17692.990234375
2023-08-22 11:30:00+08:00,17652.140625
2023-08-22 12:30:00+08:00,17657.080078125
2023-08-22 13:30:00+08:00,17915.30078125
2023-08-22 14:30:00+08:00,17801.41015625
2023-08-22 15:30:00+08:00,17791.009765625
2023-08-23 09:30:00+08:00,17829.119140625
2023-08-23 10:30:00+08:00,17814.4296875
2023-08-23 11:30:00+08:00,17852.4296875
2023-08-23 12:30:00+08:00,17899.779296875
2023-08-23 13:30:00+08:00,17859.23046875
2023-08-23 14:30:00+08:00,17823.26953125
2023-08-23 15:30:00+08:00,17845.919921875
2023-08-24 09:30:00+08:00,18021.400390625
2023-08-24 10:30:00+08:00,18156.119140625
2023-08-24 11:30:00+08:00,18186.98046875
2023-08-24 12:30:00+08:00,18232.779296875
2023-08-24 13:30:00+08:00,18245.33984375
2023-08-24 14:30:00+08:00,18201.140625
2023-08-24 15:30:00+08:00,18212.169921875
2023-08-25 09:30:00+08:00,18029.009765625
2023-08-25 10:30:00+08:00,18031.7109375
2023-08-25 11:30:00+08:00,18024.75
2023-08-25 12:30:00+08:00,17993.890625
2023-08-25 13:30:00+08:00,18011.830078125
