Date,NVDA
2019-08-01,4.163714408874512
2019-09-01,4.331055641174316
2019-10-01,5.001601219177246
2019-11-01,5.392732620239258
2019-12-01,5.858847141265869
2020-01-01,5.886983394622803
2020-02-01,6.724601745605469
2020-03-01,6.567428112030029
2020-04-01,7.2819719314575195
2020-05-01,8.845097541809082
2020-06-01,9.465217590332031
2020-07-01,10.583220481872559
2020-08-01,13.334772109985352
2020-09-01,13.490311622619629
2020-10-01,12.500509262084961
2020-11-01,13.36568832397461
2020-12-01,13.020115852355957
2021-01-01,12.958866119384766
2021-02-01,13.68189525604248
2021-03-01,13.316514015197754
2021-04-01,14.978981971740723
2021-05-01,16.211469650268555
2021-06-01,19.961835861206055
2021-07-01,19.463815689086914
2021-08-01,22.344606399536133
2021-09-01,20.68226432800293
2021-10-01,25.525367736816406
2021-11-01,32.62278747558594
2021-12-01,29.36310386657715
2022-01-01,24.449119567871094
2022-02-01,24.34827423095703
2022-03-01,27.24489974975586
2022-04-01,18.5222225189209
2022-05-01,18.647050857543945
2022-06-01,15.138747215270996
2022-07-01,18.142568588256836
2022-08-01,15.077020645141602
2022-09-01,12.125345230102539
2022-10-01,13.485823631286621
2022-11-01,16.908985137939453
2022-12-01,14.605634689331055
2023-01-01,19.525814056396484
2023-02-01,23.202709197998047
2023-03-01,27.761098861694336
2023-04-01,27.737825393676758
2023-05-01,37.81875991821289
2023-06-01,42.28496170043945
2023-07-01,46.71501541137695
2023-08-01,49.34022521972656
2023-09-01,43.48597717285156
2023-10-01,40.77115249633789
2023-11-01,46.75985336303711
2023-12-01,49.51125717163086
2024-01-01,61.51905822753906
2024-02-01,79.10179138183594
2024-03-01,90.3443374633789
2024-04-01,86.39490509033203
2024-05-01,109.6240005493164
2024-06-01,123.52985382080078
2024-07-01,128.1699981689453
