Date,XLK
2014-06-23,33.70689392089844
2014-06-30,34.2431640625
2014-07-07,34.216793060302734
2014-07-14,34.68275833129883
2014-07-21,34.92012405395508
2014-07-28,34.102500915527344
2014-08-04,33.99700927734375
2014-08-11,34.54209899902344
2014-08-18,35.26298141479492
2014-08-25,35.412452697753906
2014-09-01,35.42123031616211
2014-09-08,35.35969543457031
2014-09-15,35.465187072753906
2014-09-22,35.13222885131836
2014-09-29,34.94680404663086
2014-10-06,33.595909118652344
2014-10-13,33.242733001708984
2014-10-20,34.65543746948242
2014-10-27,35.794437408447266
2014-11-03,36.059326171875
2014-11-10,36.73918533325195
2014-11-17,36.79215621948242
2014-11-24,37.51617431640625
2014-12-01,37.1894645690918
2014-12-08,35.86506271362305
2014-12-15,36.70386505126953
2014-12-22,37.5604248046875
2014-12-29,36.62853240966797
2015-01-05,36.61079025268555
2015-01-12,35.838623046875
2015-01-19,36.78827667236328
2015-01-26,35.412601470947266
2015-02-02,36.4776496887207
2015-02-09,37.853336334228516
2015-02-16,38.2349739074707
2015-02-23,38.243831634521484
2015-03-02,37.62255859375
2015-03-09,36.82378005981445
2015-03-16,37.75569152832031
2015-03-23,36.86756896972656
2015-03-30,36.86756896972656
2015-04-06,37.500301361083984
2015-04-13,36.95668411254883
2015-04-20,38.43602752685547
2015-04-27,38.40928268432617
2015-05-04,38.346893310546875
2015-05-11,38.596435546875
2015-05-18,38.854862213134766
2015-05-25,38.64990234375
2015-06-01,38.27561950683594
2015-06-08,38.026092529296875
2015-06-15,37.91023254394531
2015-06-22,37.83013916015625
2015-06-29,37.364646911621094
2015-07-06,37.096107482910156
2015-07-13,38.88644790649414
2015-07-20,37.9196662902832
2015-07-27,38.116600036621094
2015-08-03,37.70480728149414
2015-08-10,37.97336196899414
2015-08-17,35.413169860839844
2015-08-24,36.34414291381836
2015-08-31,35.180416107177734
2015-09-07,36.21883773803711
2015-09-14,35.86076354980469
2015-09-21,35.79764938354492
2015-09-28,36.040435791015625
2015-10-05,37.29933166503906
2015-10-12,37.73993682861328
2015-10-19,39.4124755859375
2015-10-26,39.2506217956543
2015-11-02,39.87108612060547
2015-11-09,38.0996208190918
2015-11-16,39.74518585205078
2015-11-23,39.484432220458984
2015-11-30,40.07788848876953
2015-12-07,38.48628616333008
2015-12-14,37.919776916503906
2015-12-21,39.086280822753906
2015-12-28,38.70671081542969
2016-01-04,36.230491638183594
2016-01-11,35.55268478393555
2016-01-18,36.492576599121094
2016-01-25,37.269779205322266
2016-02-01,35.69728469848633
2016-02-08,35.48943328857422
2016-02-15,36.74560546875
2016-02-22,37.287845611572266
2016-02-29,38.336185455322266
2016-03-07,38.742855072021484
2016-03-14,39.39353942871094
2016-03-21,39.61992645263672
2016-03-28,40.60089874267578
2016-04-04,39.86517333984375
2016-04-11,40.27391052246094
2016-04-18,39.45643615722656
2016-04-25,38.266571044921875
2016-05-02,38.37556457519531
2016-05-09,38.33924102783203
2016-05-16,38.811561584472656
2016-05-23,40.05591583251953
2016-05-30,39.910587310791016
2016-06-06,39.92875289916992
2016-06-13,39.10219955444336
2016-06-20,38.589786529541016
2016-06-27,39.675926208496094
2016-07-04,40.278324127197266
2016-07-11,41.08150100708008
2016-07-18,41.82994079589844
2016-07-25,42.39583206176758
2016-08-01,42.943450927734375
2016-08-08,42.99821853637695
2016-08-15,42.91607666015625
2016-08-22,42.943450927734375
2016-08-29,43.217262268066406
2016-09-05,42.13113021850586
2016-09-12,43.0894889831543
2016-09-19,43.52434158325195
2016-09-26,43.790130615234375
2016-10-03,43.64349365234375
2016-10-10,43.414371490478516
2016-10-17,43.56100082397461
2016-10-24,43.47850799560547
2016-10-31,42.323734283447266
2016-11-07,42.82781219482422
2016-11-14,43.40519332885742
2016-11-21,43.991756439208984
2016-11-28,42.7911491394043
2016-12-05,44.58747863769531
2016-12-12,44.53248977661133
2016-12-19,45.078826904296875
2016-12-26,44.517295837402344
2017-01-02,45.47465133666992
2017-01-09,45.71399688720703
2017-01-16,45.842872619628906
2017-01-23,46.70817184448242
2017-01-30,46.66215515136719
2017-02-06,47.24208450317383
2017-02-13,48.04296875
2017-02-20,48.448001861572266
2017-02-27,48.65972137451172
2017-03-06,48.88986587524414
2017-03-13,49.10158157348633
2017-03-20,48.82866287231445
2017-03-27,49.26298904418945
2017-04-03,49.031959533691406
2017-04-10,48.39434051513672
2017-04-17,49.13360595703125
2017-04-24,50.25175476074219
2017-05-01,50.79696273803711
2017-05-08,51.3421745300293
2017-05-15,51.04646301269531
2017-05-22,52.09992599487305
2017-05-29,52.84843826293945
2017-06-05,51.76725387573242
2017-06-12,51.05571365356445
2017-06-19,52.2356071472168
2017-06-26,50.769676208496094
2017-07-03,51.03874206542969
2017-07-10,52.75519943237305
2017-07-17,53.32114791870117
2017-07-24,53.29331970214844
2017-07-31,53.4510383605957
2017-08-07,52.97786331176758
2017-08-14,52.95002746582031
2017-08-21,53.53453826904297
2017-08-28,54.53657913208008
2017-09-04,53.84071731567383
2017-09-11,54.49946594238281
2017-09-18,54.48932647705078
2017-09-25,55.029380798339844
2017-10-02,55.820831298828125
2017-10-09,56.33295822143555
2017-10-16,56.8916130065918
2017-10-23,58.2324333190918
2017-10-30,59.11700439453125
2017-11-06,59.12631607055664
2017-11-13,58.986656188964844
2017-11-20,60.05743408203125
2017-11-27,59.13562774658203
2017-12-04,59.21942901611328
2017-12-11,60.113311767578125
2017-12-18,60.31875228881836
2017-12-25,59.76734161376953
2018-01-01,61.963626861572266
2018-01-08,62.440284729003906
