Date,SPY
2019-08-02,270.4582824707031
2019-08-05,262.3248596191406
2019-08-06,266.00341796875
2019-08-07,266.1604919433594
2019-08-08,271.3826599121094
2019-08-09,269.5340576171875
2019-08-12,266.25299072265625
2019-08-13,270.3936462402344
2019-08-14,262.3988037109375
2019-08-15,263.0918884277344
2019-08-16,266.973876953125
2019-08-19,270.1902160644531
2019-08-20,268.11993408203125
2019-08-21,270.30120849609375
2019-08-22,270.2180480957031
2019-08-23,263.27679443359375
2019-08-26,266.18829345703125
2019-08-27,265.1437683105469
2019-08-28,267.0108642578125
2019-08-29,270.42138671875
2019-08-30,270.30120849609375
2019-09-03,268.7206726074219
2019-09-04,271.7708435058594
2019-09-05,275.26458740234375
2019-09-06,275.4770812988281
2019-09-09,275.6156921386719
2019-09-10,275.551025390625
2019-09-11,277.5104064941406
2019-09-12,278.47174072265625
2019-09-13,278.28692626953125
2019-09-16,277.42730712890625
2019-09-17,278.1297607421875
2019-09-18,278.29608154296875
2019-09-19,278.2777099609375
2019-09-20,276.96282958984375
2019-09-23,276.8977355957031
2019-09-24,274.72509765625
2019-09-25,276.3499450683594
2019-09-26,275.7743225097656
2019-09-27,274.28863525390625
2019-09-30,275.5606994628906
2019-10-01,272.282958984375
2019-10-02,267.47320556640625
2019-10-03,269.6645812988281
2019-10-04,273.3136901855469
2019-10-07,272.1344909667969
2019-10-08,267.90960693359375
2019-10-09,270.45367431640625
2019-10-10,272.282958984375
2019-10-11,275.1058044433594
2019-10-14,274.79937744140625
2019-10-15,277.5199279785156
2019-10-16,277.07421875
2019-10-17,277.8913269042969
2019-10-18,276.67498779296875
2019-10-21,278.5505676269531
2019-10-22,277.640625
2019-10-23,278.44842529296875
2019-10-24,278.9034118652344
2019-10-25,280.04559326171875
2019-10-28,281.6240234375
2019-10-29,281.54046630859375
2019-10-30,282.4040222167969
2019-10-31,281.65191650390625
2019-11-01,284.2610168457031
2019-11-04,285.4031677246094
2019-11-05,285.0874938964844
2019-11-06,285.1524658203125
2019-11-07,286.15533447265625
2019-11-08,286.8609313964844
2019-11-11,286.3132019042969
2019-11-12,286.91668701171875
2019-11-13,287.0095520019531
2019-11-14,287.4273376464844
2019-11-15,289.50726318359375
2019-11-18,289.7208557128906
2019-11-19,289.63726806640625
2019-11-20,288.5602111816406
2019-11-21,288.0959777832031
2019-11-22,288.7366943359375
2019-11-25,290.9743347167969
2019-11-26,291.63360595703125
2019-11-27,292.9336242675781
2019-11-29,291.8471984863281
2019-12-02,289.3680725097656
2019-12-03,287.4273376464844
2019-12-04,289.2008972167969
2019-12-05,289.7208557128906
2019-12-06,292.3671875
2019-12-09,291.4479675292969
2019-12-10,291.1229248046875
2019-12-11,291.9493713378906
2019-12-12,294.4656982421875
2019-12-13,294.6421203613281
2019-12-16,296.6662902832031
2019-12-17,296.73126220703125
2019-12-18,296.7498474121094
2019-12-19,297.9661865234375
2019-12-20,299.27252197265625
2019-12-23,299.72979736328125
2019-12-24,299.7391357421875
2019-12-26,301.334716796875
2019-12-27,301.2601013183594
2019-12-30,299.5991516113281
2019-12-31,300.32696533203125
2020-01-02,303.1355895996094
2020-01-03,300.8401184082031
2020-01-06,301.9878845214844
2020-01-07,301.1387634277344
2020-01-08,302.74371337890625
2020-01-09,304.7965393066406
2020-01-10,303.91943359375
2020-01-13,306.00958251953125
2020-01-14,305.54296875
2020-01-15,306.2335205078125
2020-01-16,308.7808837890625
2020-01-17,309.741943359375
2020-01-21,309.1354064941406
2020-01-22,309.17279052734375
2020-01-23,309.5272521972656
2020-01-24,306.7746276855469
2020-01-27,301.8572692871094
2020-01-28,305.0204772949219
2020-01-29,304.7685241699219
2020-01-30,305.757568359375
2020-01-31,300.2056884765625
2020-02-03,302.43572998046875
2020-02-04,307.0453186035156
2020-02-05,310.591064453125
2020-02-06,311.6361389160156
2020-02-07,309.97528076171875
2020-02-10,312.2892761230469
2020-02-11,312.83056640625
2020-02-12,314.845947265625
2020-02-13,314.5100402832031
2020-02-14,315.0139465332031
2020-02-18,314.2021789550781
2020-02-19,315.7043762207031
2020-02-20,314.40740966796875
2020-02-21,311.16961669921875
2020-02-24,300.8494567871094
2020-02-25,291.7331237792969
2020-02-26,290.6600646972656
2020-02-27,277.6060485839844
2020-02-28,276.4396667480469
2020-03-02,288.4112243652344
2020-03-03,280.1534118652344
2020-03-04,291.92913818359375
2020-03-05,282.224853515625
2020-03-06,277.55938720703125
2020-03-09,255.8834991455078
2020-03-10,269.1241455078125
2020-03-11,256.0047912597656
2020-03-12,231.51101684570312
2020-03-13,251.3019561767578
2020-03-16,223.80355834960938
2020-03-17,235.88720703125
2020-03-18,223.9435577392578
2020-03-19,224.41946411132812
2020-03-20,214.74822998046875
2020-03-23,209.25755310058594
2020-03-24,228.2169647216797
2020-03-25,231.63340759277344
2020-03-26,245.15843200683594
2020-03-27,237.856201171875
2020-03-30,245.58078002929688
2020-03-31,241.92027282714844
2020-04-01,231.03268432617188
2020-04-02,236.3638458251953
2020-04-03,232.94741821289062
2020-04-06,248.59356689453125
2020-04-07,248.84706115722656
2020-04-08,257.2004089355469
2020-04-09,261.1143798828125
2020-04-13,258.7303466796875
2020-04-14,266.361083984375
2020-04-15,260.70135498046875
2020-04-16,261.9591369628906
2020-04-17,269.0360107421875
2020-04-20,264.296142578125
2020-04-21,256.27130126953125
2020-04-22,261.9591369628906
2020-04-23,261.9402770996094
2020-04-24,265.5914001464844
2020-04-27,269.4208068847656
2020-04-28,268.18194580078125
2020-04-29,275.2024841308594
2020-04-30,272.6401672363281
