Date,JPY=X
2014-06-16,102.09400177001953
2014-06-23,101.427001953125
2014-06-30,102.12000274658203
2014-07-07,101.35199737548828
2014-07-14,101.3489990234375
2014-07-21,101.77400207519531
2014-07-28,102.57099914550781
2014-08-04,102.12300109863281
2014-08-11,102.39700317382812
2014-08-18,104.23500061035156
2014-08-25,104.11799621582031
2014-09-01,105.18599700927734
2014-09-08,107.31199645996094
2014-09-15,108.93599700927734
2014-09-22,109.4729995727539
2014-09-29,109.83999633789062
2014-10-06,107.26300048828125
2014-10-13,107.13099670410156
2014-10-20,108.21600341796875
2014-10-27,112.83399963378906
2014-11-03,114.53900146484375
2014-11-10,116.93099975585938
2014-11-17,117.75
2014-11-24,118.82599639892578
2014-12-01,121.63700103759766
2014-12-08,118.15499877929688
2014-12-15,119.48500061035156
2014-12-22,120.43000030517578
2014-12-29,120.43399810791016
2015-01-05,118.21199798583984
2015-01-12,117.55999755859375
2015-01-19,117.36100006103516
2015-01-26,117.18399810791016
2015-02-02,118.97000122070312
2015-02-09,118.56999969482422
2015-02-16,119.07599639892578
2015-02-23,119.82599639892578
2015-03-02,120.73899841308594
2015-03-09,121.34300231933594
2015-03-16,120.0270004272461
2015-03-23,119.25
2015-03-30,118.822998046875
2015-04-06,120.20899963378906
2015-04-13,118.81800079345703
2015-04-20,118.927001953125
2015-04-27,120.13600158691406
2015-05-04,119.77999877929688
2015-05-11,119.33000183105469
2015-05-18,121.50668334960938
2015-05-25,123.81999969482422
2015-06-01,124.37999725341797
2015-06-08,123.58100128173828
2015-06-15,123.00199890136719
2015-06-22,123.5979995727539
2015-06-29,123.05899810791016
2015-07-06,121.69999694824219
2015-07-13,124.14900207519531
2015-07-20,123.8759994506836
2015-07-27,124.07099914550781
2015-08-03,124.73400115966797
2015-08-10,124.36299896240234
2015-08-17,123.41999816894531
2015-08-24,121.00299835205078
2015-08-31,120.05599975585938
2015-09-07,120.61900329589844
2015-09-14,120.0459976196289
2015-09-21,120.23999786376953
2015-09-28,119.80999755859375
2015-10-05,119.92900085449219
2015-10-12,119.05000305175781
2015-10-19,120.86000061035156
2015-10-26,120.62725830078125
2015-11-02,123.1527099609375
2015-11-09,122.69938659667969
2015-11-16,122.9229965209961
2015-11-23,122.8501205444336
2015-11-30,123.1527099609375
2015-12-07,120.91898345947266
2015-12-14,121.21212005615234
2015-12-21,120.48192596435547
2015-12-28,120.31099700927734
2016-01-04,117.08000183105469
2016-01-11,116.98999786376953
2016-01-18,118.5719985961914
2016-01-25,121.33999633789062
2016-02-01,116.94999694824219
2016-02-08,113.66999816894531
2016-02-15,112.48899841308594
2016-02-22,113.66000366210938
2016-02-29,113.8030014038086
2016-03-07,113.77799987792969
2016-03-14,111.44499969482422
2016-03-21,113.44999694824219
2016-03-28,111.72200012207031
2016-04-04,108.31099700927734
2016-04-11,108.01699829101562
2016-04-18,111.43599700927734
2016-04-25,106.4530029296875
2016-05-02,107.36000061035156
2016-05-09,108.66100311279297
2016-05-16,110.05000305175781
2016-05-23,110.7699966430664
2016-05-30,106.72100067138672
2016-06-06,106.50399780273438
2016-06-13,104.64800262451172
2016-06-20,102.12699890136719
2016-06-27,102.48799896240234
2016-07-04,100.69200134277344
2016-07-11,105.45899963378906
2016-07-18,106.32599639892578
2016-07-25,102.33200073242188
2016-08-01,102.1449966430664
2016-08-08,101.28299713134766
2016-08-15,100.55400085449219
2016-08-22,101.91999816894531
2016-08-29,103.93399810791016
2016-09-05,102.43800354003906
2016-09-12,102.30699920654297
2016-09-19,100.88899993896484
2016-09-26,101.56300354003906
2016-10-03,103.01799774169922
2016-10-10,104.03900146484375
2016-10-17,103.91699981689453
2016-10-24,104.56500244140625
2016-10-31,104.19499969482422
2016-11-07,106.87100219726562
2016-11-14,110.9729995727539
2016-11-21,112.6520004272461
2016-11-28,113.50499725341797
2016-12-05,115.41200256347656
2016-12-12,117.79100036621094
2016-12-19,117.30999755859375
2016-12-26,116.79499816894531
2017-01-02,117.1500015258789
2017-01-09,114.22699737548828
2017-01-16,113.80999755859375
2017-01-23,114.66799926757812
2017-01-30,112.63899993896484
2017-02-06,113.91400146484375
2017-02-13,112.91100311279297
2017-02-20,112.18800354003906
2017-02-27,113.84700012207031
2017-03-06,114.73200225830078
2017-03-13,112.67400360107422
2017-03-20,110.552001953125
2017-03-27,111.26499938964844
2017-04-03,111.2249984741211
2017-04-10,108.322998046875
2017-04-17,109.97799682617188
2017-04-24,111.302001953125
2017-05-01,112.68399810791016
2017-05-08,113.27100372314453
2017-05-15,111.28399658203125
2017-05-22,111.25599670410156
2017-05-29,110.46299743652344
2017-06-05,110.28800201416016
2017-06-12,110.9540023803711
2017-06-19,111.23899841308594
2017-06-26,112.26200103759766
2017-07-03,113.98500061035156
2017-07-10,112.39700317382812
2017-07-17,110.94499969482422
2017-07-24,110.51000213623047
2017-07-31,110.78600311279297
2017-08-07,109.2300033569336
2017-08-14,109.31999969482422
2017-08-21,109.34600067138672
2017-08-28,109.79499816894531
2017-09-04,108.23100280761719
2017-09-11,111.1969985961914
2017-09-18,112.44400024414062
2017-09-25,112.63800048828125
2017-10-02,112.5510025024414
2017-10-09,111.81999969482422
2017-10-16,113.5199966430664
2017-10-23,113.66000366210938
2017-10-30,114.06999969482422
2017-11-06,113.5199966430664
2017-11-13,112.06999969482422
2017-11-20,111.54000091552734
2017-11-27,112.0999984741211
2017-12-04,113.4800033569336
2017-12-11,112.56999969482422
2017-12-18,113.26499938964844
2017-12-25,112.68000030517578
2018-01-01,113.05999755859375
2018-01-08,111.03500366210938
