Date,Open_^HSI,High_^HSI,Low_^HSI,Close_^HSI,Volume_^HSI
2024-12-18 09:30:00+08:00,19884.5390625,19897.66015625,19861.9609375,19888.470703125,0
2024-12-18 09:31:00+08:00,19892.869140625,19892.869140625,19880.25,19884.76953125,0
2024-12-18 09:32:00+08:00,19887.05078125,19914.759765625,19885.16015625,19914.759765625,0
2024-12-18 09:33:00+08:00,19915.529296875,19922.380859375,19907.640625,19909.439453125,0
2024-12-18 09:34:00+08:00,19913.130859375,19916.2109375,19902.189453125,19906.759765625,0
2024-12-18 09:35:00+08:00,19909.349609375,19916.44921875,19869.779296875,19869.779296875,0
2024-12-18 09:36:00+08:00,19872.009765625,19895.48046875,19872.009765625,19895.48046875,0
2024-12-18 09:37:00+08:00,19898.6796875,19904.58984375,19887.390625,19887.390625,0
2024-12-18 09:38:00+08:00,19889.630859375,19889.630859375,19870.91015625,19870.91015625,0
2024-12-18 09:39:00+08:00,19871.669921875,19871.669921875,19856.150390625,19861.509765625,0
2024-12-18 09:40:00+08:00,19866.310546875,19869.41015625,19859.3203125,19868.939453125,0
2024-12-18 09:41:00+08:00,19868.400390625,19885.83984375,19868.400390625,19884.98046875,0
2024-12-18 09:42:00+08:00,19882.41015625,19904.16015625,19882.41015625,19897.16015625,0
2024-12-18 09:43:00+08:00,19894.919921875,19898.4296875,19874.0390625,19876.0,0
2024-12-18 09:44:00+08:00,19873.3203125,19884.23046875,19871.740234375,19884.23046875,0
2024-12-18 09:45:00+08:00,19886.580078125,19926.23046875,19886.580078125,19920.380859375,0
2024-12-18 09:46:00+08:00,19918.8203125,19918.8203125,19900.740234375,19900.740234375,0
2024-12-18 09:47:00+08:00,19898.01953125,19898.01953125,19887.390625,19888.44921875,0
2024-12-18 09:48:00+08:00,19887.44921875,19888.560546875,19877.3203125,19878.150390625,0
2024-12-18 09:49:00+08:00,19876.55078125,19882.140625,19871.400390625,19875.83984375,0
2024-12-18 09:50:00+08:00,19873.7890625,19881.91015625,19863.58984375,19870.359375,0
2024-12-18 09:51:00+08:00,19869.41015625,19871.189453125,19864.69921875,19866.73046875,0
2024-12-18 09:52:00+08:00,19869.390625,19892.580078125,19867.44921875,19890.150390625,0
2024-12-18 09:53:00+08:00,19893.9609375,19905.890625,19893.9609375,19900.169921875,0
2024-12-18 09:54:00+08:00,19899.98046875,19906.509765625,19894.189453125,19897.619140625,0
2024-12-18 09:55:00+08:00,19896.779296875,19902.9609375,19895.060546875,19899.30078125,0
2024-12-18 09:56:00+08:00,19897.650390625,19898.0,19890.7890625,19893.080078125,0
2024-12-18 09:57:00+08:00,19895.1796875,19904.390625,19893.740234375,19904.390625,0
2024-12-18 09:58:00+08:00,19900.1796875,19906.44921875,19892.80078125,19892.80078125,0
2024-12-18 09:59:00+08:00,19893.08984375,19900.279296875,19877.400390625,19877.400390625,0
2024-12-18 10:00:00+08:00,19877.330078125,19885.130859375,19867.640625,19867.640625,0
2024-12-18 10:01:00+08:00,19868.0703125,19869.44921875,19847.58984375,19857.8203125,0
2024-12-18 10:02:00+08:00,19862.310546875,19863.4609375,19840.98046875,19840.98046875,0
2024-12-18 10:03:00+08:00,19841.330078125,19841.890625,19834.33984375,19840.0,0
2024-12-18 10:04:00+08:00,19839.58984375,19854.400390625,19839.58984375,19853.779296875,0
2024-12-18 10:05:00+08:00,19859.140625,19859.5,19848.619140625,19852.41015625,0
2024-12-18 10:06:00+08:00,19854.509765625,19874.529296875,19854.509765625,19872.48046875,0
2024-12-18 10:07:00+08:00,19873.939453125,19909.7890625,19871.009765625,19909.7890625,0
2024-12-18 10:08:00+08:00,19909.689453125,19909.689453125,19888.810546875,19888.810546875,0
2024-12-18 10:09:00+08:00,19888.849609375,19888.849609375,19874.30078125,19876.80078125,0
2024-12-18 10:10:00+08:00,19873.380859375,19873.380859375,19858.390625,19861.01953125,0
2024-12-18 10:11:00+08:00,19863.810546875,19863.810546875,19845.880859375,19848.0390625,0
2024-12-18 10:12:00+08:00,19846.189453125,19853.73046875,19843.080078125,19853.5,0
2024-12-18 10:13:00+08:00,19855.490234375,19865.880859375,19853.310546875,19860.630859375,0
2024-12-18 10:14:00+08:00,19861.919921875,19861.919921875,19853.099609375,19858.66015625,0
2024-12-18 10:15:00+08:00,19861.099609375,19868.83984375,19858.349609375,19858.650390625,0
2024-12-18 10:16:00+08:00,19856.76953125,19859.470703125,19842.359375,19842.359375,0
2024-12-18 10:17:00+08:00,19846.009765625,19846.009765625,19840.8203125,19843.310546875,0
2024-12-18 10:18:00+08:00,19844.630859375,19845.55078125,19838.0703125,19838.9296875,0
2024-12-18 10:19:00+08:00,19839.439453125,19843.16015625,19834.810546875,19839.859375,0
2024-12-18 10:20:00+08:00,19838.5,19847.220703125,19836.0703125,19846.259765625,0
2024-12-18 10:21:00+08:00,19847.990234375,19849.970703125,19843.580078125,19849.970703125,0
2024-12-18 10:22:00+08:00,19847.779296875,19853.099609375,19845.0703125,19852.009765625,0
2024-12-18 10:23:00+08:00,19848.849609375,19857.619140625,19848.849609375,19856.689453125,0
2024-12-18 10:24:00+08:00,19855.669921875,19862.880859375,19854.369140625,19860.16015625,0
2024-12-18 10:25:00+08:00,19860.220703125,19865.580078125,19856.029296875,19863.849609375,0
2024-12-18 10:26:00+08:00,19864.16015625,19864.75,19858.259765625,19862.599609375,0
2024-12-18 10:27:00+08:00,19863.76953125,19867.41015625,19859.109375,19861.119140625,0
