,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume
0,0.0,0.0,2024-12-18 09:30:00-05:00,133.8699951171875,133.9196014404297,133.27000427246094,133.4199981689453,13752091
1,1.0,1.0,2024-12-18 09:31:00-05:00,133.42999267578125,133.4499053955078,132.80999755859375,133.0850067138672,1532044
2,2.0,2.0,2024-12-18 09:32:00-05:00,133.07000732421875,134.52999877929688,133.05099487304688,134.42999267578125,2246279
3,3.0,3.0,2024-12-18 09:33:00-05:00,134.4149932861328,134.8300018310547,134.1999969482422,134.80999755859375,1770771
4,4.0,4.0,2024-12-18 09:34:00-05:00,134.8000030517578,134.8300018310547,133.85000610351562,134.1199951171875,1592004
5,5.0,5.0,2024-12-18 09:35:00-05:00,134.1199951171875,134.24000549316406,133.3300018310547,133.6999969482422,1229513
6,6.0,6.0,2024-12-18 09:36:00-05:00,133.6999969482422,134.10000610351562,133.4199981689453,134.0500030517578,997005
7,7.0,7.0,2024-12-18 09:37:00-05:00,134.06500244140625,134.99000549316406,134.06500244140625,134.9810028076172,1746701
8,8.0,8.0,2024-12-18 09:38:00-05:00,134.98809814453125,135.0,134.75999450683594,134.99000549316406,1394587
9,9.0,9.0,2024-12-18 09:39:00-05:00,134.99000549316406,135.38999938964844,134.98500061035156,135.31739807128906,2376280
10,10.0,10.0,2024-12-18 09:40:00-05:00,135.3300018310547,135.58999633789062,135.14999389648438,135.17999267578125,1699509
11,11.0,11.0,2024-12-18 09:41:00-05:00,135.1699981689453,135.47000122070312,134.89999389648438,135.42999267578125,1201747
12,12.0,12.0,2024-12-18 09:42:00-05:00,135.44000244140625,135.77999877929688,135.4199981689453,135.6699981689453,1469215
13,13.0,13.0,2024-12-18 09:43:00-05:00,135.66000366210938,135.66000366210938,135.27999877929688,135.3300018310547,954649
14,14.0,14.0,2024-12-18 09:44:00-05:00,135.33999633789062,135.4600067138672,135.16000366210938,135.4199981689453,1024641
15,15.0,15.0,2024-12-18 09:45:00-05:00,135.4199981689453,135.42999267578125,134.94000244140625,135.0800018310547,1050930
16,16.0,16.0,2024-12-18 09:46:00-05:00,135.0800018310547,135.13999938964844,134.7100067138672,134.7899932861328,892971
17,17.0,17.0,2024-12-18 09:47:00-05:00,134.7884979248047,135.1300048828125,134.71499633789062,134.93499755859375,945086
18,18.0,18.0,2024-12-18 09:48:00-05:00,134.94000244140625,134.9600067138672,134.6199951171875,134.65499877929688,610974
