Date,Open_COHR,High_COHR,Low_COHR,Close_COHR,Volume_COHR
2024-12-18 09:30:00-05:00,104.77999877929688,104.77999877929688,104.29000091552734,104.73999786376953,19673
2024-12-18 09:31:00-05:00,104.73999786376953,104.73999786376953,104.23999786376953,104.23999786376953,1994
2024-12-18 09:32:00-05:00,104.34500122070312,104.34500122070312,104.28500366210938,104.34500122070312,450
2024-12-18 09:33:00-05:00,104.22000122070312,104.22000122070312,103.88999938964844,104.04000091552734,1969
2024-12-18 09:34:00-05:00,104.0199966430664,104.1449966430664,104.0199966430664,104.12000274658203,1603
2024-12-18 09:35:00-05:00,103.94999694824219,103.94999694824219,103.9000015258789,103.9000015258789,382
2024-12-18 09:36:00-05:00,104.01499938964844,104.01499938964844,103.75,103.75,1216
2024-12-18 09:37:00-05:00,104.0,104.05259704589844,103.68450164794922,103.68450164794922,1838
2024-12-18 09:38:00-05:00,104.13999938964844,104.13999938964844,104.13999938964844,104.13999938964844,169
2024-12-18 09:39:00-05:00,104.11689758300781,104.36000061035156,104.08499908447266,104.36000061035156,4166
2024-12-18 09:40:00-05:00,104.3499984741211,104.3499984741211,103.88999938964844,103.88999938964844,1348
2024-12-18 09:41:00-05:00,104.35990142822266,104.35990142822266,103.89250183105469,104.1449966430664,1120
2024-12-18 09:42:00-05:00,104.0999984741211,104.0999984741211,104.09500122070312,104.09500122070312,386
2024-12-18 09:43:00-05:00,104.24310302734375,104.24310302734375,104.24310302734375,104.24310302734375,286
2024-12-18 09:44:00-05:00,103.9000015258789,104.83000183105469,103.9000015258789,104.83000183105469,6547
2024-12-18 09:45:00-05:00,104.91999816894531,104.91999816894531,104.62000274658203,104.62000274658203,871
2024-12-18 09:46:00-05:00,104.93000030517578,104.94999694824219,104.26000213623047,104.4749984741211,11098
2024-12-18 09:47:00-05:00,104.2699966430664,104.47000122070312,104.06999969482422,104.28500366210938,7596
2024-12-18 09:48:00-05:00,104.4000015258789,104.4000015258789,103.93000030517578,103.94999694824219,20987
2024-12-18 09:49:00-05:00,103.80999755859375,104.11000061035156,103.67500305175781,103.9800033569336,4998
2024-12-18 09:50:00-05:00,104.06999969482422,104.26000213623047,103.85350036621094,103.85350036621094,2723
2024-12-18 09:51:00-05:00,103.8499984741211,104.19000244140625,103.8499984741211,104.05999755859375,1133
2024-12-18 09:52:00-05:00,104.23999786376953,104.29000091552734,104.11000061035156,104.19999694824219,1781
2024-12-18 09:53:00-05:00,104.23999786376953,104.23999786376953,104.1050033569336,104.1050033569336,497
2024-12-18 09:54:00-05:00,104.27999877929688,104.27999877929688,104.27999877929688,104.27999877929688,1341
2024-12-18 09:55:00-05:00,104.18000030517578,104.18000030517578,104.18000030517578,104.18000030517578,711
2024-12-18 09:56:00-05:00,104.11000061035156,104.1500015258789,104.05000305175781,104.05000305175781,1790
2024-12-18 09:57:00-05:00,104.08999633789062,104.08999633789062,103.93000030517578,104.0250015258789,2577
2024-12-18 09:58:00-05:00,104.05999755859375,104.05999755859375,103.91500091552734,104.0,2183
2024-12-18 09:59:00-05:00,104.0999984741211,104.12000274658203,103.94999694824219,104.04000091552734,1500
2024-12-18 10:00:00-05:00,104.06999969482422,104.31999969482422,104.05999755859375,104.30000305175781,2776
2024-12-18 10:01:00-05:00,104.2249984741211,104.41000366210938,104.19000244140625,104.31999969482422,2392
2024-12-18 10:02:00-05:00,104.31999969482422,104.31999969482422,104.12000274658203,104.12000274658203,4945
2024-12-18 10:03:00-05:00,104.01000213623047,104.01000213623047,103.93000030517578,103.98500061035156,1302
2024-12-18 10:04:00-05:00,103.98500061035156,103.98500061035156,103.98500061035156,103.98500061035156,507
2024-12-18 10:05:00-05:00,103.83999633789062,103.83999633789062,103.76499938964844,103.76499938964844,1264
2024-12-18 10:06:00-05:00,,,,,0
2024-12-18 10:07:00-05:00,103.64959716796875,103.91999816894531,103.64959716796875,103.91000366210938,2078
2024-12-18 10:08:00-05:00,103.87000274658203,103.87000274658203,103.87000274658203,103.87000274658203,558
2024-12-18 10:09:00-05:00,,,,,0
2024-12-18 10:10:00-05:00,103.8550033569336,103.8550033569336,103.69999694824219,103.70500183105469,867
2024-12-18 10:11:00-05:00,103.69999694824219,103.69999694824219,103.69999694824219,103.69999694824219,484
2024-12-18 10:12:00-05:00,103.69999694824219,103.9000015258789,103.51000213623047,103.9000015258789,3184
2024-12-18 10:13:00-05:00,103.63500213623047,103.63500213623047,103.56999969482422,103.56999969482422,581
