Date,Open_FRGT,High_FRGT,Low_FRGT,Close_FRGT,Volume_FRGT
2024-12-18 09:30:00-05:00,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716,7050
2024-12-18 09:31:00-05:00,1.62090003490448,1.62090003490448,1.6200000047683716,1.6200000047683716,313
2024-12-18 09:32:00-05:00,,,,,0
2024-12-18 09:33:00-05:00,1.6201000213623047,1.6201000213623047,1.6201000213623047,1.6201000213623047,600
2024-12-18 09:34:00-05:00,1.622499942779541,1.622499942779541,1.622499942779541,1.622499942779541,1160
2024-12-18 09:35:00-05:00,,,,,0
2024-12-18 09:36:00-05:00,,,,,0
2024-12-18 09:37:00-05:00,,,,,0
2024-12-18 09:38:00-05:00,,,,,0
2024-12-18 09:39:00-05:00,,,,,0
2024-12-18 09:40:00-05:00,,,,,0
2024-12-18 09:41:00-05:00,,,,,0
2024-12-18 09:42:00-05:00,,,,,0
2024-12-18 09:43:00-05:00,,,,,0
2024-12-18 09:44:00-05:00,,,,,0
2024-12-18 09:45:00-05:00,,,,,0
2024-12-18 09:46:00-05:00,,,,,0
2024-12-18 09:47:00-05:00,,,,,0
2024-12-18 09:48:00-05:00,,,,,0
2024-12-18 09:49:00-05:00,,,,,0
2024-12-18 09:50:00-05:00,1.6799999475479126,1.6799999475479126,1.6799999475479126,1.6799999475479126,974
2024-12-18 09:51:00-05:00,1.6799999475479126,1.6799999475479126,1.6799999475479126,1.6799999475479126,513
2024-12-18 09:52:00-05:00,,,,,0
2024-12-18 09:53:00-05:00,,,,,0
2024-12-18 09:54:00-05:00,,,,,0
2024-12-18 09:55:00-05:00,1.638700008392334,1.638700008392334,1.638700008392334,1.638700008392334,0
2024-12-18 09:56:00-05:00,,,,,0
2024-12-18 09:57:00-05:00,,,,,0
2024-12-18 09:58:00-05:00,,,,,0
2024-12-18 09:59:00-05:00,,,,,0
2024-12-18 10:00:00-05:00,,,,,0
2024-12-18 10:01:00-05:00,,,,,0
