Date,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT
2024-12-18 09:30:00-05:00,451.3999938964844,452.30999755859375,449.7699890136719,451.489990234375,1035056
2024-12-18 09:31:00-05:00,451.3800048828125,451.4800109863281,449.82000732421875,450.2315979003906,136541
2024-12-18 09:32:00-05:00,450.29998779296875,450.3299865722656,448.70001220703125,449.5090026855469,187539
2024-12-18 09:33:00-05:00,449.489990234375,449.9200134277344,448.8999938964844,449.114013671875,94610
2024-12-18 09:34:00-05:00,449.1300048828125,449.1600036621094,448.1600036621094,448.5628967285156,100236
2024-12-18 09:35:00-05:00,448.5050048828125,448.510009765625,447.2200012207031,447.32000732421875,102042
2024-12-18 09:36:00-05:00,447.29998779296875,448.19500732421875,447.2699890136719,447.3599853515625,106486
2024-12-18 09:37:00-05:00,447.3399963378906,447.3399963378906,446.159912109375,446.739990234375,135308
2024-12-18 09:38:00-05:00,446.80999755859375,447.8699951171875,446.7349853515625,447.8699951171875,91630
2024-12-18 09:39:00-05:00,447.84271240234375,448.3999938964844,447.6050109863281,448.31500244140625,79708
2024-12-18 09:40:00-05:00,448.3800048828125,448.5,447.2099914550781,447.31500244140625,66180
2024-12-18 09:41:00-05:00,447.31500244140625,447.31500244140625,447.0,447.2300109863281,75146
2024-12-18 09:42:00-05:00,447.2200012207031,448.6000061035156,447.07000732421875,448.5799865722656,65491
2024-12-18 09:43:00-05:00,448.5799865722656,448.69000244140625,447.7799987792969,448.135009765625,54266
2024-12-18 09:44:00-05:00,448.1300048828125,448.55999755859375,448.0743103027344,448.55999755859375,37616
2024-12-18 09:45:00-05:00,448.4700012207031,448.54998779296875,448.1099853515625,448.54998779296875,40744
2024-12-18 09:46:00-05:00,448.48748779296875,449.0,448.45001220703125,448.5946044921875,66139
2024-12-18 09:47:00-05:00,448.5799865722656,449.0,447.90008544921875,447.90008544921875,59729
2024-12-18 09:48:00-05:00,448.0044860839844,448.2029113769531,447.5899963378906,447.7799987792969,53957
2024-12-18 09:49:00-05:00,447.70001220703125,448.1000061035156,447.5899963378906,448.1000061035156,42705
2024-12-18 09:50:00-05:00,448.0199890136719,448.2550048828125,447.7300109863281,448.1199951171875,34184
2024-12-18 09:51:00-05:00,448.1099853515625,448.3999938964844,448.0530090332031,448.385009765625,27601
2024-12-18 09:52:00-05:00,448.5,448.8699951171875,448.4100036621094,448.6700134277344,40464
2024-12-18 09:53:00-05:00,448.6099853515625,448.8599853515625,448.44000244140625,448.7200012207031,41094
2024-12-18 09:54:00-05:00,448.6499938964844,448.989990234375,448.55999755859375,448.8800048828125,39542
2024-12-18 09:55:00-05:00,448.8800048828125,449.302001953125,448.6099853515625,448.9599914550781,66654
2024-12-18 09:56:00-05:00,449.0400085449219,449.2300109863281,448.7799987792969,448.7799987792969,39094
2024-12-18 09:57:00-05:00,448.95001220703125,449.1300048828125,448.32000732421875,448.67999267578125,39647
2024-12-18 09:58:00-05:00,448.67010498046875,448.69000244140625,448.1600036621094,448.5450134277344,51690
2024-12-18 09:59:00-05:00,448.6199951171875,448.6199951171875,448.2099914550781,448.239990234375,61795
