Date,Open_TSM,High_TSM,Low_TSM,Close_TSM,Volume_TSM
2024-12-18 09:30:00-05:00,203.0,203.44000244140625,202.60000610351562,202.64500427246094,579507
2024-12-18 09:31:00-05:00,202.60000610351562,202.7196044921875,201.9499969482422,202.3000030517578,175581
2024-12-18 09:32:00-05:00,202.2949981689453,202.47999572753906,201.9499969482422,202.18499755859375,64623
2024-12-18 09:33:00-05:00,202.19000244140625,202.19000244140625,201.5200958251953,201.77000427246094,67524
2024-12-18 09:34:00-05:00,201.7100067138672,201.80990600585938,201.40060424804688,201.74000549316406,59560
2024-12-18 09:35:00-05:00,201.7899932861328,201.9499969482422,201.2100067138672,201.56500244140625,74768
2024-12-18 09:36:00-05:00,201.57000732421875,202.19000244140625,201.39999389648438,202.13999938964844,39558
2024-12-18 09:37:00-05:00,202.1300048828125,202.85000610351562,201.9199981689453,202.6999969482422,96278
2024-12-18 09:38:00-05:00,202.768798828125,203.47000122070312,202.73500061035156,203.42999267578125,39602
2024-12-18 09:39:00-05:00,203.3699951171875,203.7384033203125,203.05999755859375,203.6300048828125,74173
2024-12-18 09:40:00-05:00,203.6199951171875,204.17999267578125,203.6199951171875,203.77499389648438,84186
2024-12-18 09:41:00-05:00,203.7100067138672,203.8300018310547,203.3300018310547,203.50999450683594,35327
2024-12-18 09:42:00-05:00,203.4499969482422,203.7100067138672,203.24000549316406,203.47000122070312,56985
2024-12-18 09:43:00-05:00,203.3975067138672,203.7899932861328,203.27999877929688,203.77000427246094,35326
2024-12-18 09:44:00-05:00,203.77000427246094,203.83990478515625,203.07000732421875,203.07000732421875,42967
2024-12-18 09:45:00-05:00,203.11000061035156,203.22999572753906,202.80999755859375,203.02000427246094,36307
2024-12-18 09:46:00-05:00,203.00999450683594,203.05999755859375,202.60000610351562,202.9698944091797,68575
2024-12-18 09:47:00-05:00,202.9600067138672,203.00999450683594,202.8258056640625,203.00999450683594,28157
2024-12-18 09:48:00-05:00,202.99000549316406,202.99000549316406,202.64999389648438,202.7465057373047,33981
2024-12-18 09:49:00-05:00,202.74000549316406,202.99000549316406,202.63009643554688,202.80499267578125,34030
