,msft,date,^hsi,hyg,open,high,low,close,volume,amd,frgt,dji,aapl,^vix,tsm,xela,xlk,jpy=x,hpq,avgo,spy,intc,cohr,cpi,treasury,mortgage,score,rating,unemployment,gdp,stock splits,dividends,shares,eps estimate,reported eps,surprise(%),revenue,cost,g-profit,rnd,sgae,operating-expenses,operating-income,tnoie,pre-tax-income,tpit,income-after-taxes,ifco,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps,eps-diluted
0,129.50230407714844,2019-08-12,25824.720703125,66.44760131835938,3.7801787504107303,3.832377440062938,3.742645408027716,3.764519214630127,279200000,32.43000030517578,418.502197265625,28634.900390625,48.55445861816406,21.09000015258789,36.91371536254883,15120.0,73.81004333496094,105.38200378417967,16.04766273498535,23.61225700378418,266.2529296875,40.00321960449219,38.02999877929688,256.43,0.02,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,53809.0,33582.0,20227.0,4257.0,4426.0,8683.0,11544.0,367.0,11911.0,1867.0,10044.0,10044.0,10044.0,14477.0,11544.0,18282.53,18405.52,0.55,0.545
1,132.1822509765625,2019-08-13,25281.30078125,66.74141693115234,3.763027782098339,3.924843700068571,3.724003156043009,3.878859043121338,351956000,32.11000061035156,411.894287109375,28634.900390625,50.61064910888672,17.520000457763672,37.70678329467773,14760.0,75.65863037109375,105.35800170898438,16.59107780456543,24.302703857421875,270.3937072753906,41.09103012084961,39.38999938964844,256.43,0.02,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,53809.0,33582.0,20227.0,4257.0,4426.0,8683.0,11544.0,367.0,11911.0,1867.0,10044.0,10044.0,10044.0,14477.0,11544.0,18282.53,18405.52,0.55,0.545
2,128.20162963867188,2019-08-14,25302.279296875,66.1461181640625,3.790618557757445,3.801804008531237,3.686469840896133,3.730217218399048,419880000,30.239999771118164,389.8678283691406,28634.900390625,49.1042366027832,22.100000381469727,36.43607711791992,14160.0,73.33358764648438,106.58999633789062,16.370311737060547,23.26275062561035,262.3987121582031,40.24009323120117,36.970001220703125,256.43,0.01,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,53809.0,33582.0,20227.0,4257.0,4426.0,8683.0,11544.0,367.0,11911.0,1867.0,10044.0,10044.0,10044.0,14477.0,11544.0,18282.53,18405.52,0.55,0.545
3,127.9145736694336,2019-08-15,25495.4609375,66.33937072753906,3.749107892909717,3.768993084301181,3.663601522516384,3.6979033946990967,477200000,29.670000076293945,374.4493408203125,28634.900390625,48.859622955322266,21.18000030517578,36.82358932495117,13920.0,73.20018768310547,105.91600036621094,15.818406105041504,23.01261329650879,263.0920104980469,40.0909538269043,37.02000045776367,256.43,0.04,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,53809.0,33582.0,20227.0,4257.0,4426.0,8683.0,11544.0,367.0,11911.0,1867.0,10044.0,10044.0,10044.0,14477.0,11544.0,18282.53,18405.52,0.55,0.545
4,130.25892639160156,2019-08-16,25734.220703125,66.56359100341797,3.960885377825082,4.015320869106047,3.8994896192745063,3.9661052227020255,1007960000,31.18000030517578,372.2467041015625,28634.900390625,50.01244735717773,18.46999931335449,37.4364128112793,13440.0,74.5914077758789,106.08300018310548,16.20049285888672,23.452924728393555,266.9738464355469,40.79277038574219,38.2599983215332,256.43,0.07,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
5,132.4405975341797,2019-08-19,26291.83984375,66.75686645507812,4.079451121846539,4.260903554972754,4.063294255469437,4.2449951171875,815112000,31.479999542236328,363.4361267089844,28634.900390625,50.94487762451172,16.8799991607666,37.65270614624024,13920.0,75.72533416748047,106.43000030517578,16.310869216918945,23.881244659423828,270.1902770996094,41.43316650390625,39.2400016784668,256.43,0.07,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
6,131.34017944335938,2019-08-20,26231.5390625,66.81096649169922,4.239527011405018,4.24002434270877,4.151534928169787,4.17266321182251,463188000,30.71999931335449,372.2467041015625,28634.900390625,50.947296142578125,17.5,37.796913146972656,14160.0,75.34417724609375,106.5739974975586,16.05615234375,24.01744842529297,268.1199951171875,40.88048553466797,39.0099983215332,256.43,0.05,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4519179776,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
7,132.80416870117188,2019-08-21,26270.0390625,67.09703063964844,4.238782228781821,4.311363221639823,4.217157082939895,4.256181716918945,427244000,31.700000762939453,372.2467041015625,28634.900390625,51.49949645996094,15.800000190734863,38.373680114746094,13920.0,76.2303466796875,106.27400207519533,16.098604202270508,24.628223419189453,270.30126953125,41.36298370361328,39.09000015258789,256.43,0.03,3.6,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4443939840,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
8,131.83778381347656,2019-08-22,26048.720703125,67.2207260131836,4.265874801639182,4.308379320071608,4.223121380524447,4.262394905090332,303488000,31.899999618530277,367.8414001464844,28634.900390625,51.45591354370117,16.68000030517578,37.9681396484375,14880.0,76.04930877685547,106.59700012207033,16.07313346862793,24.638505935668945,270.2179870605469,41.03839874267578,38.70000076293945,256.43,0.01,3.55,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4443939840,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
9,127.6371078491211,2019-08-23,26179.330078125,66.9114990234375,4.185836568375741,4.240272294345509,4.017806402963406,4.037691593170166,568056000,29.540000915527344,392.7312927246094,28634.900390625,49.07759094238281,19.8700008392334,36.904693603515625,15600.0,73.53370666503906,106.46800231933594,15.122156143188477,23.311582565307617,263.2768859863281,39.4417724609375,36.52000045776367,256.43,0.01,3.55,66.28571428571429,greed,3.5,20758.053508750327,4.0,0.1925,4443939840,0.52,0.55,0.039,64040.0,39727.0,24313.0,4110.0,4578.0,8688.0,15625.0,502.0,16127.0,2441.0,13686.0,13686.0,13686.0,18804.0,15625.0,18471.34,18595.65,0.7675,0.765
